테이블명,컬럼명,한글명,설명,데이터타입,컬럼타입,NULL허용,키워드,카테고리,중요도,search_text
actual_loss_coverages,comm_start_date,comm_start_날짜,actual_loss_coverages 시작 일시,varchar,varchar(200),아니오,"start, 일자, 날짜, comm, comm_start_date, date",📅 날짜,보통,"actual_loss_coverages comm_start_date comm_start_날짜 actual_loss_coverages 시작 일시 start, 일자, 날짜, comm, comm_start_date, date"
actual_loss_coverages,res_coverage_amount,res_coverage_금액,res_coverage_금액,varchar,varchar(200),아니오,"coverage, res, 비용, 요금, res_coverage_amount, 금액, amount",💰 금액,높음,"actual_loss_coverages res_coverage_amount res_coverage_금액 res_coverage_금액 coverage, res, 비용, 요금, res_coverage_amount, 금액, amount"
actual_loss_coverages,res_coverage_name,res_coverage_이름,res_coverage_이름 명칭,varchar,varchar(200),아니오,"res_coverage_name, 명칭, coverage, res, 이름, name",📝 명칭,높음,"actual_loss_coverages res_coverage_name res_coverage_이름 res_coverage_이름 명칭 res_coverage_name, 명칭, coverage, res, 이름, name"
actual_loss_coverages,res_coverage_status,res_coverage_상태,"res_coverage_상태 (CHAR 타입, YYYYMMDD 형식 - TO_DATE() 필요)",varchar,varchar(100),예,"coverage, 상황, res, status, res_coverage_status, 상태",📊 상태,보통,"actual_loss_coverages res_coverage_status res_coverage_상태 res_coverage_상태 (char 타입, yyyymmdd 형식 - to_date() 필요) coverage, 상황, res, status, res_coverage_status, 상태"
actual_loss_coverages,res_number,res_번호,res_번호,varchar,varchar(200),아니오,"number, res, res_number",🔢 코드,보통,"actual_loss_coverages res_number res_번호 res_번호 number, res, res_number"
actual_loss_coverages,res_type,res_타입,res_타입 유형/타입,varchar,varchar(200),아니오,"res_type, type, 종류, res, 유형, 타입",📋 일반,보통,"actual_loss_coverages res_type res_타입 res_타입 유형/타입 res_type, type, 종류, res, 유형, 타입"
actual_loss_coverages,actual_loss_contract_id,actual_loss_contract_ID,actual_loss_contract_ID 고유 식별자,bigint,bigint(20) unsigned,아니오,"actual, 아이디, contract, actual_loss_contract_id, loss, 식별자, id",🔑 식별자,높음,"actual_loss_coverages actual_loss_contract_id actual_loss_contract_id actual_loss_contract_id 고유 식별자 actual, 아이디, contract, actual_loss_contract_id, loss, 식별자, id"
actual_loss_payment,actual_loss_payment_id,actual_loss_payment_ID,actual_loss_payment 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20) unsigned,아니오,"actual_loss_payment_id, actual, 아이디, loss, payment, 식별자, id",🔑 식별자,높음,"actual_loss_payment actual_loss_payment_id actual_loss_payment_id actual_loss_payment 테이블의 고유 식별자 (primary key) actual_loss_payment_id, actual, 아이디, loss, payment, 식별자, id"
actual_loss_payment,res_company_nm,res_company_nm,res_company_nm 명칭,varchar,varchar(255),아니오,"res, company, res_company_nm, nm",📋 일반,보통,"actual_loss_payment res_company_nm res_company_nm res_company_nm 명칭 res, company, res_company_nm, nm"
actual_loss_payment,res_company_nm_code,res_company_nm_코드,actual_loss_payment의 코드 값,varchar,varchar(100),예,"code, res, nm, res_company_nm_code, company, 번호, 코드",🔢 코드,보통,"actual_loss_payment res_company_nm_code res_company_nm_코드 actual_loss_payment의 코드 값 code, res, nm, res_company_nm_code, company, 번호, 코드"
actual_loss_payment,res_insurance_name,res_insurance_이름,res_insurance_이름 명칭,varchar,varchar(255),아니오,"명칭, insurance, res, 이름, res_insurance_name, name",📝 명칭,높음,"actual_loss_payment res_insurance_name res_insurance_이름 res_insurance_이름 명칭 명칭, insurance, res, 이름, res_insurance_name, name"
actual_loss_payment,res_number,res_번호,res_번호,varchar,varchar(255),아니오,"number, res, res_number",🔢 코드,보통,"actual_loss_payment res_number res_번호 res_번호 number, res, res_number"
actual_loss_payment,res_occur_date_time,res_occur_날짜_time,actual_loss_payment 관련 일시 정보,varchar,varchar(255),아니오,"res, 일자, res_occur_date_time, 시간, occur, 날짜, 일시, date, time",📅 날짜,보통,"actual_loss_payment res_occur_date_time res_occur_날짜_time actual_loss_payment 관련 일시 정보 res, 일자, res_occur_date_time, 시간, occur, 날짜, 일시, date, time"
actual_loss_payment,res_policy_number,res_policy_번호,res_policy_번호,varchar,varchar(255),아니오,"number, res_policy_number, res, policy",🔢 코드,보통,"actual_loss_payment res_policy_number res_policy_번호 res_policy_번호 number, res_policy_number, res, policy"
actual_loss_payment,res_policy_number_hid,res_policy_number_hID,res_policy_number_hID,varchar,varchar(255),아니오,"res_policy_number_hid, 아이디, number, res, policy, 식별자, hid",🔢 코드,보통,"actual_loss_payment res_policy_number_hid res_policy_number_hid res_policy_number_hid res_policy_number_hid, 아이디, number, res, policy, 식별자, hid"
actual_loss_payment,res_total_amount,res_total_금액,res_total_금액,varchar,varchar(255),아니오,"res, total, res_total_amount, 비용, 요금, 금액, amount",💰 금액,높음,"actual_loss_payment res_total_amount res_total_금액 res_total_금액 res, total, res_total_amount, 비용, 요금, 금액, amount"
actual_loss_payment,user_id,사용자 ID,환자 고유 식별자 (FOREIGN KEY),bigint,bigint(20) unsigned,아니오,"아이디, user_id, 식별자, id, user",🔑 식별자,높음,"actual_loss_payment user_id 사용자 id 환자 고유 식별자 (foreign key) 아이디, user_id, 식별자, id, user"
actual_loss_payment_detail,actual_loss_payment_detail_id,actual_loss_payment_detail_ID,actual_loss_payment_detail 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20) unsigned,아니오,"actual, 아이디, actual_loss_payment_detail_id, loss, payment, detail, 식별자, id",🔑 식별자,높음,"actual_loss_payment_detail actual_loss_payment_detail_id actual_loss_payment_detail_id actual_loss_payment_detail 테이블의 고유 식별자 (primary key) actual, 아이디, actual_loss_payment_detail_id, loss, payment, detail, 식별자, id"
actual_loss_payment_detail,res_judge_result,res_judge_result,res_judge_result 컬럼,varchar,varchar(255),아니오,"res, result, res_judge_result, judge",📋 일반,보통,"actual_loss_payment_detail res_judge_result res_judge_result res_judge_result 컬럼 res, result, res_judge_result, judge"
actual_loss_payment_detail,res_number,res_번호,res_번호,varchar,varchar(255),아니오,"number, res, res_number",🔢 코드,보통,"actual_loss_payment_detail res_number res_번호 res_번호 number, res, res_number"
actual_loss_payment_detail,res_paid_amount,res_paID_amount,res_paID_amount,varchar,varchar(255),아니오,"아이디, paid, res, 비용, 요금, 금액, amount, 식별자, res_paid_amount",💰 금액,높음,"actual_loss_payment_detail res_paid_amount res_paid_amount res_paid_amount 아이디, paid, res, 비용, 요금, 금액, amount, 식별자, res_paid_amount"
actual_loss_payment_detail,res_payment_date,res_payment_날짜,actual_loss_payment_detail 관련 일시 정보,varchar,varchar(255),아니오,"res, 일자, payment, 날짜, date, res_payment_date",📅 날짜,보통,"actual_loss_payment_detail res_payment_date res_payment_날짜 actual_loss_payment_detail 관련 일시 정보 res, 일자, payment, 날짜, date, res_payment_date"
actual_loss_payment_detail,res_reason_for_payment,res_reason_for_payment,res_reason_for_payment 컬럼,varchar,varchar(1000),아니오,"reason, res, payment, for, res_reason_for_payment",📋 일반,보통,"actual_loss_payment_detail res_reason_for_payment res_reason_for_payment res_reason_for_payment 컬럼 reason, res, payment, for, res_reason_for_payment"
actual_loss_payment_detail,res_type,res_타입,res_타입 유형/타입,varchar,varchar(255),아니오,"res_type, type, 종류, res, 유형, 타입",📋 일반,보통,"actual_loss_payment_detail res_type res_타입 res_타입 유형/타입 res_type, type, 종류, res, 유형, 타입"
actual_loss_payment_detail,actual_loss_payment_id,actual_loss_payment_ID,actual_loss_payment_ID 고유 식별자,bigint,bigint(20) unsigned,아니오,"actual_loss_payment_id, actual, 아이디, loss, payment, 식별자, id",🔑 식별자,높음,"actual_loss_payment_detail actual_loss_payment_id actual_loss_payment_id actual_loss_payment_id 고유 식별자 actual_loss_payment_id, actual, 아이디, loss, payment, 식별자, id"
actual_loss_payment_detail,judgment_status,judgment_상태,"judgment_상태 (CHAR 타입, YYYYMMDD 형식 - TO_DATE() 필요)",varchar,varchar(32),예,"judgment_status, 상황, judgment, status, 상태",📊 상태,보통,"actual_loss_payment_detail judgment_status judgment_상태 judgment_상태 (char 타입, yyyymmdd 형식 - to_date() 필요) judgment_status, 상황, judgment, status, 상태"
actual_loss_payment_detail,insurance_type_code,insurance_타입_code,신용정보원보험종류코드,varchar,varchar(30),예,"type, insurance, code, 종류, 유형, 번호, 타입, insurance_type_code, 코드",🔢 코드,보통,"actual_loss_payment_detail insurance_type_code insurance_타입_code 신용정보원보험종류코드 type, insurance, code, 종류, 유형, 번호, 타입, insurance_type_code, 코드"
actual_loss_payment_detail,payment_seq,payment_seq,신용정보원피해자물건일련번호,varchar,varchar(30),예,"seq, payment_seq, payment",📋 일반,보통,"actual_loss_payment_detail payment_seq payment_seq 신용정보원피해자물건일련번호 seq, payment_seq, payment"
actual_loss_payment_detail,payment_insurance_name,payment_insurance_이름,지급한 보험명,varchar,varchar(300),예,"명칭, insurance, payment_insurance_name, 이름, payment, name",📝 명칭,높음,"actual_loss_payment_detail payment_insurance_name payment_insurance_이름 지급한 보험명 명칭, insurance, payment_insurance_name, 이름, payment, name"
actual_loss_payment_detail,insurance_start_date,insurance_start_날짜,보험 시작일,varchar,varchar(50),예,"insurance, start, 일자, insurance_start_date, 날짜, date",📅 날짜,보통,"actual_loss_payment_detail insurance_start_date insurance_start_날짜 보험 시작일 insurance, start, 일자, insurance_start_date, 날짜, date"
actual_loss_payment_detail,insurance_end_date,insurance_end_날짜,보험 종료일,varchar,varchar(50),예,"insurance, 일자, 날짜, date, insurance_end_date, end",📅 날짜,보통,"actual_loss_payment_detail insurance_end_date insurance_end_날짜 보험 종료일 insurance, 일자, 날짜, date, insurance_end_date, end"
actual_loss_payment_detail,first_accident_report_date,first_accIDent_report_date,최초사고접수일자,varchar,varchar(50),예,"아이디, report, first, 일자, 식별자, accident, 날짜, date, first_accident_report_date",📅 날짜,보통,"actual_loss_payment_detail first_accident_report_date first_accident_report_date 최초사고접수일자 아이디, report, first, 일자, 식별자, accident, 날짜, date, first_accident_report_date"
actual_loss_payment_detail,contract_personal_yn,contract_personal_yn,신용정보원계약자개인여부,varchar,varchar(30),예,"contract_personal_yn, yn, personal, contract",📋 일반,보통,"actual_loss_payment_detail contract_personal_yn contract_personal_yn 신용정보원계약자개인여부 contract_personal_yn, yn, personal, contract"
actual_loss_payment_detail,exemption_yn,exemption_yn,면책여부,varchar,varchar(10),예,"yn, exemption_yn, exemption",📋 일반,보통,"actual_loss_payment_detail exemption_yn exemption_yn 면책여부 yn, exemption_yn, exemption"
actual_loss_payment_detail,admission_date,admission_날짜,입원일자,varchar,varchar(30),예,"일자, admission, 날짜, admission_date, date",📅 날짜,보통,"actual_loss_payment_detail admission_date admission_날짜 입원일자 일자, admission, 날짜, admission_date, date"
actual_loss_payment_detail,admission_days,admission_days,입원일수,varchar,varchar(30),예,"admission_days, admission, days",📋 일반,보통,"actual_loss_payment_detail admission_days admission_days 입원일수 admission_days, admission, days"
actual_loss_payment_detail,admission_count,admission_개수,입원횟수,varchar,varchar(30),예,"count, admission_count, admission",📋 일반,보통,"actual_loss_payment_detail admission_count admission_개수 입원횟수 count, admission_count, admission"
actual_loss_payment_detail,discharge_date,discharge_날짜,퇴원일자,varchar,varchar(30),예,"일자, discharge, 날짜, date, discharge_date",📅 날짜,보통,"actual_loss_payment_detail discharge_date discharge_날짜 퇴원일자 일자, discharge, 날짜, date, discharge_date"
actual_loss_payment_detail,outpatient_count,outpatient_개수,통원횟수,varchar,varchar(30),예,"outpatient, count, outpatient_count",📋 일반,보통,"actual_loss_payment_detail outpatient_count outpatient_개수 통원횟수 outpatient, count, outpatient_count"
actual_loss_payment_detail,surgery_count,surgery_개수,수술횟수,varchar,varchar(30),예,"surgery, surgery_count, count",📋 일반,보통,"actual_loss_payment_detail surgery_count surgery_개수 수술횟수 surgery, surgery_count, count"
actual_loss_payment_detail,disability_grade_code,disability_grade_코드,신용정보원장해등급코드,varchar,varchar(30),예,"code, disability_grade_code, grade, 코드, 번호, disability",🔢 코드,보통,"actual_loss_payment_detail disability_grade_code disability_grade_코드 신용정보원장해등급코드 code, disability_grade_code, grade, 코드, 번호, disability"
actual_loss_payment_detail,before_disability_payment_rate,before_disability_payment_rate,신용정보원이전장해지급율,varchar,varchar(30),예,"before_disability_payment_rate, before, payment, rate, disability",📋 일반,보통,"actual_loss_payment_detail before_disability_payment_rate before_disability_payment_rate 신용정보원이전장해지급율 before_disability_payment_rate, before, payment, rate, disability"
actual_loss_payment_detail,after_disability_payment_rate,after_disability_payment_rate,신용정보원이후장해지급율,varchar,varchar(30),예,"after, payment, rate, after_disability_payment_rate, disability",📋 일반,보통,"actual_loss_payment_detail after_disability_payment_rate after_disability_payment_rate 신용정보원이후장해지급율 after, payment, rate, after_disability_payment_rate, disability"
actual_loss_payment_detail,kcd_code,kcd_코드,KCD코드,varchar,varchar(30),예,"code, kcd, 번호, 코드, kcd_code",🔢 코드,보통,"actual_loss_payment_detail kcd_code kcd_코드 kcd코드 code, kcd, 번호, 코드, kcd_code"
actual_loss_payment_detail,kcd_code1,kcd_코드1,KCD코드1,varchar,varchar(30),예,"kcd, 코드, 번호, kcd_code1, code1",🔢 코드,보통,"actual_loss_payment_detail kcd_code1 kcd_코드1 kcd코드1 kcd, 코드, 번호, kcd_code1, code1"
actual_loss_payment_detail,kcd_code2,kcd_코드2,KCD코드2,varchar,varchar(30),예,"kcd_code2, code2, kcd, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code2 kcd_코드2 kcd코드2 kcd_code2, code2, kcd, 번호, 코드"
actual_loss_payment_detail,kcd_code3,kcd_코드3,KCD코드3,varchar,varchar(30),예,"code3, kcd, kcd_code3, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code3 kcd_코드3 kcd코드3 code3, kcd, kcd_code3, 번호, 코드"
actual_loss_payment_detail,kcd_code4,kcd_코드4,KCD코드4,varchar,varchar(30),예,"kcd_code4, 번호, kcd, code4, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code4 kcd_코드4 kcd코드4 kcd_code4, 번호, kcd, code4, 코드"
actual_loss_payment_detail,last_change_count,last_change_개수,최종변경횟수,varchar,varchar(30),예,"last_change_count, change, last, count",📋 일반,보통,"actual_loss_payment_detail last_change_count last_change_개수 최종변경횟수 last_change_count, change, last, count"
actual_loss_payment_detail,kcd_code_content,kcd_코드_content,KCD코드전문내용,varchar,varchar(40),예,"content, code, kcd, 번호, 코드, kcd_code_content",🔢 코드,보통,"actual_loss_payment_detail kcd_code_content kcd_코드_content kcd코드전문내용 content, code, kcd, 번호, 코드, kcd_code_content"
actual_loss_payment_detail,kcd_code_content1,kcd_코드_content1,KCD코드전문내용1,varchar,varchar(40),예,"code, content1, kcd, kcd_code_content1, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code_content1 kcd_코드_content1 kcd코드전문내용1 code, content1, kcd, kcd_code_content1, 번호, 코드"
actual_loss_payment_detail,kcd_code_content2,kcd_코드_content2,KCD코드전문내용2,varchar,varchar(40),예,"kcd_code_content2, code, content2, kcd, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code_content2 kcd_코드_content2 kcd코드전문내용2 kcd_code_content2, code, content2, kcd, 번호, 코드"
actual_loss_payment_detail,kcd_code_content3,kcd_코드_content3,KCD코드전문내용3,varchar,varchar(40),예,"code, kcd, kcd_code_content3, content3, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code_content3 kcd_코드_content3 kcd코드전문내용3 code, kcd, kcd_code_content3, content3, 번호, 코드"
actual_loss_payment_detail,kcd_code_content4,kcd_코드_content4,KCD코드전문내용4,varchar,varchar(40),예,"code, content4, kcd, kcd_code_content4, 번호, 코드",🔢 코드,보통,"actual_loss_payment_detail kcd_code_content4 kcd_코드_content4 kcd코드전문내용4 code, content4, kcd, kcd_code_content4, 번호, 코드"
actual_loss_payment_detail,additional_disease_yn,additional_disease_yn,추가질병존재여부,varchar,varchar(10),예,"additional_disease_yn, yn, disease, additional",📋 일반,보통,"actual_loss_payment_detail additional_disease_yn additional_disease_yn 추가질병존재여부 additional_disease_yn, yn, disease, additional"
actual_loss_payment_detail,res_insured_person,res_insured_person,피보험자,varchar,varchar(50),예,"res, res_insured_person, person, insured",📋 일반,보통,"actual_loss_payment_detail res_insured_person res_insured_person 피보험자 res, res_insured_person, person, insured"
actual_loss_payment_detail,res_benefit_person,res_benefit_person,수익자,varchar,varchar(50),예,"res, person, benefit, res_benefit_person",📋 일반,보통,"actual_loss_payment_detail res_benefit_person res_benefit_person 수익자 res, person, benefit, res_benefit_person"
actual_loss_payment_detail,res_contract_person,res_contract_person,계약자,varchar,varchar(50),예,"res_contract_person, res, person, contract",📋 일반,보통,"actual_loss_payment_detail res_contract_person res_contract_person 계약자 res_contract_person, res, person, contract"
actual_loss_payment_detail,res_policy_number_hid,res_policy_number_hID,증권번호,varchar,varchar(255),예,"res_policy_number_hid, 아이디, number, res, policy, 식별자, hid",🔢 코드,보통,"actual_loss_payment_detail res_policy_number_hid res_policy_number_hid 증권번호 res_policy_number_hid, 아이디, number, res, policy, 식별자, hid"
actual_loss_payment_detail,res_type_description,res_타입_description,담보코드상세,varchar,varchar(255),예,"description, type, 종류, res, 유형, 타입, res_type_description",📋 일반,보통,"actual_loss_payment_detail res_type_description res_타입_description 담보코드상세 description, type, 종류, res, 유형, 타입, res_type_description"
actual_loss_payment_detail,res_occur_date,res_occur_날짜,사고일자,varchar,varchar(100),예,"res_occur_date, res, 일자, 날짜, occur, date",📅 날짜,보통,"actual_loss_payment_detail res_occur_date res_occur_날짜 사고일자 res_occur_date, res, 일자, 날짜, occur, date"
actual_loss_payment_detail,company_name,company_이름,보험회사,varchar,varchar(50),예,"명칭, company_name, 이름, company, name",📝 명칭,높음,"actual_loss_payment_detail company_name company_이름 보험회사 명칭, company_name, 이름, company, name"
basic_treatment,basic_treatment_id,basic_treatment_ID,basic_treatment 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20),아니오,"basic_treatment_id, 아이디, treatment, 식별자, basic, id",🔑 식별자,높음,"basic_treatment basic_treatment_id basic_treatment_id basic_treatment 테이블의 고유 식별자 (primary key) basic_treatment_id, 아이디, treatment, 식별자, basic, id"
basic_treatment,user_id,사용자 ID,유저 아이디,bigint,bigint(20),아니오,"아이디, user_id, 식별자, id, user",🔑 식별자,높음,"basic_treatment user_id 사용자 id 유저 아이디 아이디, user_id, 식별자, id, user"
basic_treatment,res_treat_start_date,res_treat_start_날짜,진료시작일,char,char(200),아니오,"res_treat_start_date, res, start, 일자, 날짜, treat, date",📅 날짜,보통,"basic_treatment res_treat_start_date res_treat_start_날짜 진료시작일 res_treat_start_date, res, start, 일자, 날짜, treat, date"
basic_treatment,res_hospital_name,res_hospital_이름,병/의원&약국,char,char(255),아니오,"hospital, 명칭, res, 이름, res_hospital_name, name",📝 명칭,높음,"basic_treatment res_hospital_name res_hospital_이름 병/의원&약국 hospital, 명칭, res, 이름, res_hospital_name, name"
basic_treatment,company_identity,company_IDentity,사업자번호,char,char(200),예,"아이디, company_identity, company, 식별자, identity",📋 일반,보통,"basic_treatment company_identity company_identity 사업자번호 아이디, company_identity, company, 식별자, identity"
basic_treatment,res_department,res_department,진단과,varchar,varchar(500),아니오,"res, department, res_department",📋 일반,보통,"basic_treatment res_department res_department 진단과 res, department, res_department"
basic_treatment,res_treat_type,res_treat_타입,타입,varchar,varchar(200),아니오,"type, 종류, res, 유형, res_treat_type, 타입, treat",📋 일반,보통,"basic_treatment res_treat_type res_treat_타입 타입 type, 종류, res, 유형, res_treat_type, 타입, treat"
basic_treatment,res_disease_code,res_disease_코드,주상병코드,varchar,varchar(500),아니오,"code, res, res_disease_code, disease, 번호, 코드",🔢 코드,보통,"basic_treatment res_disease_code res_disease_코드 주상병코드 code, res, res_disease_code, disease, 번호, 코드"
basic_treatment,res_disease_name,res_disease_이름,주상병명,varchar,varchar(500),아니오,"명칭, res, 이름, disease, res_disease_name, name",📝 명칭,높음,"basic_treatment res_disease_name res_disease_이름 주상병명 명칭, res, 이름, disease, res_disease_name, name"
basic_treatment,res_visit_days,res_visit_days,내원일수,varchar,varchar(200),아니오,"res, res_visit_days, visit, days",📋 일반,보통,"basic_treatment res_visit_days res_visit_days 내원일수 res, res_visit_days, visit, days"
basic_treatment,res_total_amount,res_total_금액,총진료비,varchar,varchar(200),아니오,"res, total, res_total_amount, 비용, 요금, 금액, amount",💰 금액,높음,"basic_treatment res_total_amount res_total_금액 총진료비 res, total, res_total_amount, 비용, 요금, 금액, amount"
basic_treatment,res_public_charge,res_public_charge,혜택받은 금액,varchar,varchar(200),아니오,"res, res_public_charge, public, charge",📋 일반,보통,"basic_treatment res_public_charge res_public_charge 혜택받은 금액 res, res_public_charge, public, charge"
basic_treatment,res_deductible_amt,res_deductible_amt,내가 낸 의료비,varchar,varchar(200),아니오,"deductible, res_deductible_amt, amt, res",📋 일반,보통,"basic_treatment res_deductible_amt res_deductible_amt 내가 낸 의료비 deductible, res_deductible_amt, amt, res"
basic_treatment,modified_by,수정자,수정한 사용자,bigint,bigint(20),예,"modified, by, modified_by",⚙️ 시스템,낮음,"basic_treatment modified_by 수정자 수정한 사용자 modified, by, modified_by"
basic_treatment,modified_at,수정일시,수정한 일자,datetime,datetime(6),예,"at, modified_at, modified",⚙️ 시스템,낮음,"basic_treatment modified_at 수정일시 수정한 일자 at, modified_at, modified"
basic_treatment,created_by,생성자,최초 생성 사용자,bigint,bigint(20),예,"created, created_by, by",⚙️ 시스템,낮음,"basic_treatment created_by 생성자 최초 생성 사용자 created, created_by, by"
basic_treatment,created_at,생성일시,최초 생성 일자,datetime,datetime(6),아니오,"created, at, created_at",⚙️ 시스템,낮음,"basic_treatment created_at 생성일시 최초 생성 일자 created, at, created_at"
basic_treatment,deleted,삭제 여부,"삭제 여부 플래그 (FALSE: 유효한 데이터, TRUE: 삭제된 데이터) - 쿼리 시 항상 deleted=FALSE 조건 필요",bit,bit(1),아니오,deleted,⚙️ 시스템,낮음,"basic_treatment deleted 삭제 여부 삭제 여부 플래그 (false: 유효한 데이터, true: 삭제된 데이터) - 쿼리 시 항상 deleted=false 조건 필요 deleted"
basic_treatment,res_hospital_code,res_hospital_코드,병원코드,varchar,varchar(20),예,"hospital, code, res, res_hospital_code, 번호, 코드",🔢 코드,보통,"basic_treatment res_hospital_code res_hospital_코드 병원코드 hospital, code, res, res_hospital_code, 번호, 코드"
detail_treatment,detail_treatment_id,detail_treatment_ID,detail_treatment 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20),아니오,"아이디, treatment, detail, 식별자, detail_treatment_id, id",🔑 식별자,높음,"detail_treatment detail_treatment_id detail_treatment_id detail_treatment 테이블의 고유 식별자 (primary key) 아이디, treatment, detail, 식별자, detail_treatment_id, id"
