drug_name,ingredients,usage_count
타세놀8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),450932
스토가정10밀리그램(라푸티딘)_(10mg/1정),lafutidine,444372
가스모틴정5밀리그람(모사프리드시트르산염이수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),433970
트라몰8시간서방정650밀리그람(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),430652
뮤테란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,409523
펜잘8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),404435
펠루비서방정(펠루비프로펜)_(45mg/1정),pelubiprofen,399906
케이캡정50밀리그램(테고프라잔)_(50mg/1정),tegoprazan,396413
베포스타비정(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,368518
삼아탄툼액(벤지다민염산염)_(0.15g/100mL),benzydamine hydrochloride,366507
씨잘정5밀리그램(레보세티리진염산염)_(5mg/1정),levocetirizine dihydrochloride,362890
세토펜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),355203
뮤코라민정(레바미피드)_(0.1g/1정),rebamipide,351493
무코스타정(레바미피드)_(0.1g/1정),rebamipide,350214
삼남아세트아미노펜정500밀리그람_(0.5g/1정),acetaminophen,344647
엘도스캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,339560
렉소팬정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),333267
"타이레놀8시간이알서방정(아세트아미노펜)(수출명:Tylenol Arthritis Tablet,Tylenol8Hours,Tylenol8hour,Tylenol ER extended release Caplet,Tylenol8 Hour Extended Release Caplet)_(0.65g/1정)",acetaminophen(encapsulated),332636
휴로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),321201
포타겔현탁액(디옥타헤드랄스멕타이트)_(3g/20mL),dioctahedral smectite,315437
대한리도카인염산염수화물2%주_(0.4266g/20mL),lidocaine hydrochloride,302570
아디팜정(히드록시진염산염)_(10mg/1정),hydroxyzine hydrochloride,292546
씨투스정50mg(프란루카스트수화물)_(50mg/1정),pranlukast hydrate,291631
우루사정100밀리그램(우르소데옥시콜산)_(0.1g/1정),ursodeoxycholic acid,287791
메디솔론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,282932
제뉴원록소프로펜나트륨정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),281821
휴온스리도카인염산염수화물주2%_(0.4266g/20mL),lidocaine hydrochloride,281581
마그밀정(수산화마그네슘)_(0.5g/1정),magnesium hydroxide,278860
뮤코라제정(스트렙토키나제.스트렙토도르나제분말)_(12.5KI.U/1정),"streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",277994
보나링에이정(디멘히드리네이트)_(50mg/1정),dimenhydrinate,273299
트리암시놀론주사40밀리그램(트리암시놀론아세토니드)_(40mg/1mL),triamcinolone acetonide,269439
환인클로나제팜정0.5밀리그램_(0.5mg/1정),clonazepam,268514
휴메딕스덱사메타손포스페이트이나트륨주사_(5mg/1mL),dexamethasone disodium phosphate,266047
고덱스캡슐_(1캡슐),adenine hydrochloride,265607
포리부틴정(트리메부틴말레산염)_(0.1g/1정),trimebutine maleate,264984
스티렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),264538
코싹엘정_(1정),levocetirizine dihydrochloride,253835
"코싹엘정(레보세티리진,슈도에페드린)_(1정)",levocetirizine dihydrochloride,253637
베아스타정(레바미피드)_(0.1g/1정),rebamipide,247273
모사핀정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),246740
헥사메딘액0.12%(클로르헥시딘글루콘산염액)_(0.6mL/100mL),chlorhexidine gluconate solution,244430
록소디펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),241735
세토펜정325밀리그램(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated),241438
알프람정0.25밀리그램(알프라졸람)(수출명:Alpram Tablet 0.25mg)_(0.25mg/1정),alprazolam,239140
리보트릴정(클로나제팜)_(0.5mg/1정),clonazepam,237476
모사피트정5밀리그램(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),236211
레바트정(레바미피드)_(0.1g/1정),rebamipide,235488
시클러캡슐250밀리그램(세파클러수화물)(수출명:BEARCLOR)_(0.25g/1캡슐),cefaclor hydrate,234192
뮤코세린캅셀(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,231978
록사펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),230824
휴레바정(레바미피드)_(0.1g/1정),rebamipide,228670
대한생리식염주사액(염화나트륨)_(0.18g/20mL/앰플(PP)),sodium chloride(0.9%),227970
동화록소닌정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),226080
노르믹스정(리팍시민)_(0.2g/1정),rifaximin,225685
엔시드8시간이알서방정650mg(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),224773
코데닝정_(1정),chlorpheniramine maleate,224035
레미피드정(레바미피드)_(0.1g/1정),rebamipide,223961
대웅바이오록소프로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),223440
프리비투스현탁액(레보클로페라스틴펜디조산염)_(56.64mg/8mL),levocloperastine fendizoate (as cloperastine hydrochloride),223147
휴모리드정5mg(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),221776
아나프록스정(나프록센나트륨)_(0.275g/1정),naproxen sodium,221752
스토엠정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),217878
콜킨정(콜키신)_(0.6mg/1정),colchicine,215463
아클펜정(아세클로페낙)_(0.1g/1정),aceclofenac,215171
스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),zolpidem tartrate,214486
동아가스터정20밀리그램(파모티딘)_(20mg/1정),famotidine,214486
에스로반연고(무피로신)_(0.2g/10g),mupirocin,211716
종근당아목시실린캡슐500밀리그램_(0.5g/1캡슐),amoxicillin,209439
베포탄정(베포타스틴살리실산염)_(9.64mg/1정),bepotastine salicylate (as bepotastine),208880
스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL),dioctahedral smectite,208394
타이리콜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),207668
록스펜정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),206582
에어탈정(아세클로페낙)_(0.1g/1정),aceclofenac,205281
맥스펜정(덱시부프로펜 디.씨.)_(0.3g/1정),dexibuprofen,204721
모사피아정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),203773
파마염산슈도에페드린정_(60mg/1정),pseudoephedrine hydrochloride,200672
엘스테인캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,199596
가리온정10밀리그램(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,197231
뮤코스텐캡슐(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,196050
삼진디아제팜정2밀리그람_(2mg/1정),diazepam,191153
디부루펜정400밀리그램(덱시부프로펜디.씨)_(0.4g/1정),dexibuprofen,189666
무코란정(레바미피드)_(0.1g/1정),rebamipide,184386
메디론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,180614
부루펜정200밀리그램(이부프로펜)_(0.2g/1정),ibuprofen,180287
세페리손정(에페리손염산염)_(50mg/1정),eperisone hydrochloride,179792
아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),179786
록소탄정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),179482
티로파정(티로프라미드염산염)_(0.1g/1정),tiropramide hydrochloride,177630
알레스틴정(에피나스틴염산염)_(10mg/1정),epinastine hydrochloride,176904
인데놀정40mg(프로프라놀롤염산염)_(40mg/1정),propranolol hydrochloride,176140
대한리도카인염산염수화물1%주_(0.2133g/20mL),lidocaine hydrochloride,175906
레마이드정100밀리그램(레바미피드)_(0.1g/1정),rebamipide,175012
오티렌정[애엽이소프로판올연조엑스(20→1)]_(60mg/1정),artemisiae argyi folium isopropanol soft ext.(20→1),173505
애니코프캡슐300밀리그램(테오브로민)_(0.3g/1캡슐),theobromine,172337
오엔지질연질캡슐_(1캡슐),neomycin sulfate (as neomycin),171991
엔테론정150밀리그람(포도씨건조엑스)_(0.15g/1정),vitis vinifera ext.,171685
유니레바정(레바미피드)(수출명: 유니레다정)_(0.1g/1정),rebamipide,167958
스테린정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),167475
맥시부펜이알정300밀리그램(덱시부프로펜)_(0.3g/1정),dexibuprofen,166602
브로다제장용정(브로멜라인)_(0.1g/1정),bromelain,166522
메프솔정4mg(메틸프레드니솔론)_(4mg/1정),methylprednisolone,166384
미노씬캡슐50mg(미노사이클린염산염)_(50mg/1캡슐),minocycline hydrochloride,166073
휴온스시메티딘정200밀리그램(수출명:TAGAMENTTab.200밀리그램)_(0.2g/1정),cimetidine,164151
로닌정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),163757
바메딘정(레바미피드)_(0.1g/1정),rebamipide,163303
자나팜정0.25밀리그람(알프라졸람)_(0.25mg/1정),alprazolam,162870
펜렉스정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),162379
트라몰정325밀리그람(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated),161045
프레나정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,159952
맥페란정(메토클로프라미드)_(3.84mg/1정),metoclopramide,159803
모사린정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),158054
바이독시정(독시사이클린수화물)_(0.1g/1정),doxycycline hydrate,157553
브로나제장용정(브로멜라인)_(0.1g/1정),bromelain,157119
휴모사정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),156748
아빌리파이정2밀리그램(아리피프라졸)_(2mg/1정),aripiprazole,156708
펙수클루정40밀리그램(펙수프라잔염산염)_(40mg/1정),fexuprazan hydrochloride,156486
대한멸균생리식염수(생리식염주사액)_(0.9g/100mL/백),sodium chloride(0.9%),155272
"메디락디에스장용캡슐(바실루스서브틸리스균,엔테로코쿠스페슘균배양물)_(0.25g/1캡슐)","bacillus subtilis·streptococcus faecium(streptococcus faecium 9억마리,bacillus subtilis 1억마리)",155082
메치론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,154180
누코미트캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,154032
미피드정(레바미피드)_(0.1g/1정),rebamipide,153811
보령메이액트정100밀리그램(세프디토렌피복실)_(0.1g/1정),cefditoren pivoxil,152653
엠솔론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,151152
휴텍스파모티딘정20mg_(20mg/1정),famotidine,149792
엘도신캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,149584
조인스정200밀리그램(위령선·괄루근·하고초30%에탄올엑스(40→1))(수출명:카라스론)_(0.2g/1정),"위령선, 괄루근, 하고초 30% ethanol ext.",149251
다이크로짇정(히드로클로로티아지드)_(25mg/1정),hydrochlorothiazide,148743
씨엠지모사프리드정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),148722
덱시부정400mg(덱시부프로펜디.씨)_(0.4g/1정),dexibuprofen,147853
동광록소프로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),147108
네오메디코푸정_(1정),caffeine anhydrous,146870
칼로민에스정(펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1))_(20mg/1정),pelargonium sidoides 11% ethanol ext.(1→8~10) (as dried pelargonium sidoides ethanol ext.),146626
프리마란정(메퀴타진)_(5mg/1정),mequitazine,146350
록소드펜정60밀리그램(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),145764
낙소졸정500/20밀리그램_(1정),esomeprazole strontium tetrahydrate (as esomeprazol),145652
오티렌F정[애엽이소프로판올연조엑스(20→1)]_(90mg/1정),artemisiae argyi folium isopropanol ext.,145452
삼남아세트아미노펜정_(0.3g/1정),acetaminophen,144657
한미파모티딘정20밀리그램(파모티딘)_(20mg/1정),famotidine,144600
신일슈도에페드린정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,143517
"제일리도카인주사액_(리도카인염산염, 0.4g/20mL)",lidocaine hydrochloride,143350
키도라제정(스트렙토키나제·스트렙토도르나제)_(12.5KI.U/1정),"streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",142955
산소,oxygen gas,142550
메드론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,142078
록소론정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),141623
휴온스리도카인염산염수화물주1%_(0.2134g/20mL),lidocaine hydrochloride,140939
모사드린정(모사프리드시트르산염이수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),140783
뮤코다인캡슐200mg(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,140691
자나팜정0.125밀리그램(알프라졸람)_(0.125mg/1정),alprazolam,139656
바미드정(레바미피드)_(0.1g/1정),rebamipide,139244
휴티렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),139203
코데농정_(1정),caffeine anhydrous,138769
베스티딘정20밀리그램(파모티딘)_(20mg/1정),famotidine,137943
애니펜정400밀리그램(덱시부프로펜)_(0.4g/1정),dexibuprofen,136913
모사렌정(모사프리드시트르산염이수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),136347
동광레바미피드정_(0.1g/1정),rebamipide,136289
베아솔론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,136058
휴메딕스트라마돌염산염주_(50mg/1mL),tramadol hydrochloride,134594
안국레바미피드정(레바미피드)_(0.1g/1정),rebamipide,134435
카마졸질정(클로트리마졸)_(0.1g/1정),clotrimazole,133876
록펜정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),133478
엘로틴캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,132690
아이소펜정(덱시부프로펜)_(0.4g/1정),dexibuprofen,132509
러키펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),131912
바난정(세프포독심프록세틸)_(0.1g/1정),cefpodoxime proxetil,131839
록소날정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),130793
휴온스클로르페니라민말레산염주사액_(4mg/2mL),chlorpheniramine maleate,130776
타스펜8시간이알서방정650밀리그람(아세트아미노펜)(수출명:도로돈이알정)_(0.65g/1정),acetaminophen(encapsulated),129905
알레락정5㎎(염산올로파타딘)_(5mg/1정),olopatadine hydrochloride,129782
가스티인씨알정(모사프리드시트르산염수화물)_(15.87mg/1정),mosapride citrate,129483
애니펜정300밀리그램(덱시부프로펜)_(0.3g/1정),dexibuprofen,128907
페니라민주사(클로르페니라민말레산염)_(4mg/2mL),chlorpheniramine maleate,128435
에페신정(에페리손염산염)(수출명:에페잔정(Epezantablet))_(50mg/1정),eperisone hydrochloride,127472
솔레톤정(잘토프로펜)_(80mg/1정),zaltoprofen,127071
맥페란주사액2밀리리터(메토클로프라미드염산염수화물)_(10mg/2mL),metoclopramide hydrochloride,126774
레보드롭정(레보드로프로피진)_(60mg/1정),levodropropizine,126592
셀트리온아세클로페낙정_(0.1g/1정),aceclofenac,126543
"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)_(0.2g/10mL)",simethicone,126286
로라반정1밀리그램(로라제팜)_(1mg/1정),lorazepam,125618
한미알마게이트정500밀리그램(알마게이트)_(0.5g/1정),almagate,125571
도란찐주50밀리그람(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,125503
암펙솔정(암브록솔염산염)_(30mg/1정),ambroxol hydrochloride,125395
스티렌투엑스정(애엽95%에탄올연조엑스(20→1))_(90mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),125254
씨트클러캡슐250밀리그램(세파클러수화물)_(0.25g/1캡슐),cefaclor hydrate,125151
티메롤8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),125055
스토마정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),124309
뮤코졸정(브롬헥신염산염)_(8mg/1정),bromhexine hydrochloride,123879
셀리온정10밀리그램(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,123818
삼성세파클러캡슐250밀리그람_(0.25g/1캡슐),cefaclor hydrate,123566
록페린정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),123128
로프민캡슐(로페라미드염산염)_(2mg/1캡슐),loperamide hydrochloride,122916
"유한디나트륨인산덱사메타손주사액(수출명:덱사컴,유한덱사컴)_(5mg/1mL)",dexamethasone disodium phosphate,121891
휴텍스파모티딘정10밀리그람_(10mg/1정),famotidine,121659
리노에바스텔캡슐_(1캡슐),ebastine,120222
포리부틴정150mg(트리메부틴말레산염)_(0.15g/1정),trimebutine maleate,119933
레바미드정(레바미피드)_(0.1g/1정),rebamipide,119354
타마돌주사(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,118092
영풍독시사이클린정100밀리그램_(0.1g/1정),doxycycline hydrate,118086
루나팜정(플루니트라제팜)_(1mg/1정),flunitrazepam,117981
로나펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),117399
메디카레바시드정(레바미피드)_(0.1g/1정),rebamipide,117396
이노엔0.9%생리식염주사액_(0.9g/100mL),sodium chloride(0.9%),117068
프로맥정(폴라프레징크)_(75mg/1정),polaprezinc,116667
세파로캡슐(세파클러수화물)_(0.25g/1캡슐),cefaclor hydrate,116407
오구멘틴정375밀리그램(아목시실린·클라불란산칼륨(2:1))_(1정),amoxicillin,116063
페브릭정40밀리그램(페북소스타트)_(40mg/1정),febuxostat,116025
엘다인캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,115968
레바피드정(레바미피드)_(0.1g/1정),rebamipide,115402
훼로바-유서방정(건조황산제일철)_(0.256g/1정),ferrous sulfate dried (as Fe II),115155
드로피진정(레보드로프로피진)_(60mg/1정),levodropropizine,113510
록솔정(암브록솔염산염)_(30mg/1정),ambroxol hydrochloride,113061
무코바정(레바미피드)_(0.1g/1정),rebamipide,113046
"바리다제정(스트렙토키나제,스트렙토도르나제)(군납명:스트렙토키나제-스트렙토도르나제정12500단위)_(12.5KI.U/1정)","streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",112727
록소리스정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),112299
대원알마게이트정_(0.5g/1정),almagate,111980
레큐틴정(트리메부틴말레산염)_(0.1g/1정),trimebutine maleate,111550
리피토정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),atorvastatin calcium (as atorvastatin),111361
"레일라정_(당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스(3.5→1), 0.4054g/1정)",당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1),111168
록스파인정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),111044
중외엔에스주사액(염화나트륨)_(0.9g/100mL/백),sodium chloride(0.9%),111043
명인트라조돈염산염정25mg_(25mg/1정),trazodone hydrochloride,110843
이모튼캡슐(아보카도-소야불검화물의추출물)_(0.30003g/1캡슐),avocado soya unsaponifiables,110789
오구멘틴정625밀리그램(아목시실린·클라불란산칼륨(4:1))_(1정),amoxicillin,110571
아르시딘에프정(애엽95%에탄올연조엑스(20→1))_(90mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),110524
"케토신주사(케토롤락트로메타민염)(수출명:뉴케토신주사,NEWKETOCININJ)_(30mg/1mL)",ketorolac tromethamine,109867
우루사정200밀리그램(우르소데옥시콜산)_(0.2g/1정),ursodeoxycholic acid,109678
로노펜정(덱시부프로펜디.씨)_(0.3g/1정),dexibuprofen,109104
에스텐캡슐300mg(에르도스테인)_(0.3g/1캡슐),erdosteine,108605
아세클낙정(아세클로페낙)_(0.1g/1정),aceclofenac,107681
대우슈도에페드린염산염정60mg_(60mg/1정),pseudoephedrine hydrochloride,107232
"뮤코트라정(레바미피드)(수출명:Repampia, MUCORENFOR)_(0.1g/1정)",rebamipide,106984
유니펙탄캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,106672
레바큐어정(레바미피드)_(0.1g/1정),rebamipide,106165
레바진정(레바미피드)_(0.1g/1정),rebamipide,105555
"대화이부프로펜정400밀리그람(수출명:UPRO400,IBUFEN)_(0.4g/1정)",ibuprofen,104971
덱스핀정(덱시부프로펜)_(0.3g/1정),dexibuprofen,104157
베포린비정(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,104026
룩펠정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),103953
알리온정10밀리그램(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,103781
게스타렌정(애엽95%에탄올연조엑스(20->1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),103614
중외생리식염주사액(수출명: 0.9% Sodium Chloride Inj.)_(0.18g/20mL),sodium chloride(0.9%),103594
명문록소프로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),102893
팬스타정(덱시부프로펜)_(0.3g/1정),dexibuprofen,102836
잘레톤정(잘토프로펜)_(80mg/1정),zaltoprofen,102644
레파드린정(레바미피드)_(0.1g/1정),rebamipide,102616
레드보르정(레보드로프로피진)_(60mg/1정),levodropropizine,102435
베니톨정(미세정제플라보노이드분획물)_(0.5g/1정),fraction flavonoid purifiee micronise,102264
레보투스정(레보드로프로피진)_(60mg/1정),levodropropizine,102258
겐타프로주사(겐타마이신황산염)_(80mg/2mL),gentamicin sulfate,102256
알피트주사(시메트로퓸브롬화물)_(5mg/1mL),cimetropium bromide,102214
베아렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),101974
아스피린프로텍트정100밀리그람_(0.1g/1정),aspirin(enteric coated) (as aspirin),101925
팜젠아세틸시스테인캡슐200mg_(0.2g/1캡슐),acetylcysteine,101874
곰실린캡슐(아목시실린수화물)(수출명:대웅아목시실린캡슐500밀리그램)_(0.5g/1캡슐),amoxicillin,101713
가모드정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),101596
베라제정(스트렙토키나제·스토렙토도르나제)_(12.5KI.U/1정),"streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",101537
싱귤레어정10밀리그램(몬테루카스트나트륨)_(10.4mg/1정),montelukast sodium (as montelukast),101403
"록세핀정(록소프로펜나트륨수화물)(수출명:대우록소프로펜나트륨정,펜락소정,비스몰탭정)_(68.1mg/1정)",loxoprofen sodium hydrate (as loxoprofen sodium),101047
에스코텐정(에스오메프라졸마그네슘삼수화물)_(11.15mg/1정),esomeprazole magnesium (as esomeprazole),100979
무코레바정(레바미피드)_(0.1g/1정),rebamipide,100781
지스로맥스정250밀리그람(아지트로마이신수화물)_(0.25g/1정),azithromycin,100734
로멜라인장용정(브로멜라인)_(0.1g/1정),bromelain,99788
디프로펜정300밀리그램(덱시부프로펜디.씨.)_(0.3g/1정),dexibuprofen,99654
록소로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),99577
알레린정(레보세티리진염산염)_(5mg/1정),levocetirizine dihydrochloride,99512
케이스타정(레바미피드)_(0.1g/1정),rebamipide,99043
스토큐어정(레바미피드)_(0.1g/1정),rebamipide,98946
넥실렌정[애엽이소프로판올연조엑스(20→1)]_(60mg/1정),artemisiae argyi folium isopropanol soft ext.(20→1),98901
오페릴50서방정(오르펜나드린시트르산염50밀리그람)_(50mg/1정),orphenadrine citrate,98755
잘나겔정(알마게이트)_(0.5g/1정),almagate,98522
메드닌정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,98370
알리코프정(레보드로프로피진)_(60mg/1정),levodropropizine,97857
세크로정(아세클로페낙)(수출명:HUONSACENACTab.)_(0.1g/1정),aceclofenac,97632
모사무라정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),97576
이텍스암브록솔정(암브록솔염산염)_(30mg/1정),ambroxol hydrochloride,97440
덱시핀정(덱시부프로펜)_(0.4g/1정),dexibuprofen,97102
뉴코타정(레바미피드)_(0.1g/1정),rebamipide,96495
메녹틸정40밀리그램(옥틸로늄브롬화물)_(40mg/1정),octylonium bromide,96448
클래신정(클래리트로마이신)_(0.25g/1정),clarithromycin,95316
뮤코펙트정(암브록솔염산염)_(30mg/1정),ambroxol hydrochloride,94753
