category,name,ingredients,patient_count,prescription_count,first_prescription,last_prescription
unique_drugs,타이레놀8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),158892,451406,20200630,20250812
unique_drugs,코데날정_(1정),chlorpheniramine maleate,143969,484867,20200101,20250809
unique_drugs,"모티리톤정_(현호색·견우자(5:1) 50% 에탄올 연조엑스(9.5~11.5→1), 30mg/1정)",corydalis tuber·pharbitis seed(5:1) 50% ethanol ext.(9.5~11.5→1),139309,515133,20200101,20250818
unique_drugs,트라몰8시간서방정650밀리그람(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),130230,400677,20200101,20250814
unique_drugs,펜잘8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),127926,376847,20200101,20250727
unique_drugs,후라시닐정(메트로니다졸)_(0.25g/1정),metronidazole,126093,494390,20200101,20250818
unique_drugs,코슈정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,125763,442189,20200101,20250814
unique_drugs,"타이레놀8시간이알서방정(아세트아미노펜)(수출명:Tylenol Arthritis Tablet,Tylenol8Hours,Tylenol8hour,Tylenol ER extended release Caplet,Tylenol8 Hour Extended Release Caplet)_(0.65g/1정)",acetaminophen(encapsulated),125059,302508,20200101,20250609
unique_drugs,삼아탄툼액(벤지다민염산염)_(0.15g/100mL),benzydamine hydrochloride,123975,342514,20200101,20250729
unique_drugs,휴메딕스덱사메타손포스페이트이나트륨주사_(5mg/1mL),dexamethasone disodium phosphate,123551,243588,20200101,20250731
unique_drugs,가스모틴정5밀리그람(모사프리드시트르산염이수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),120141,399428,20200101,20250724
unique_drugs,스토가정10밀리그램(라푸티딘)_(10mg/1정),lafutidine,117320,408981,20200101,20250818
unique_drugs,뮤테란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,114952,382722,20200101,20250729
unique_drugs,포타겔현탁액(디옥타헤드랄스멕타이트)_(3g/20mL),dioctahedral smectite,114142,293254,20200101,20250723
unique_drugs,세토펜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),111230,330584,20200101,20250726
unique_drugs,엘도스캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,107452,316608,20200101,20250728
unique_drugs,투리온정(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,107138,437700,20200101,20250804
unique_drugs,피디정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,105119,430005,20200101,20250818
unique_drugs,대한리도카인염산염수화물2%주_(0.4266g/20mL),lidocaine hydrochloride,104081,275015,20200101,20250730
unique_drugs,삼남아세트아미노펜정500밀리그람_(0.5g/1정),acetaminophen,99999,322424,20200101,20250809
unique_drugs,펠루비서방정(펠루비프로펜)_(45mg/1정),pelubiprofen,99773,365361,20200101,20250808
unique_drugs,케이캡정50밀리그램(테고프라잔)_(50mg/1정),tegoprazan,99386,359814,20200101,20250823
unique_drugs,산소,oxygen gas,97722,130225,20200101,20250725
unique_drugs,무코스타정(레바미피드)_(0.1g/1정),rebamipide,97299,323485,20200101,20250731
unique_drugs,트리암시놀론주사40밀리그램(트리암시놀론아세토니드)_(40mg/1mL),triamcinolone acetonide,92853,244149,20200102,20250730
unique_drugs,뮤코라제정(스트렙토키나제.스트렙토도르나제분말)_(12.5KI.U/1정),"streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",91722,258783,20200101,20231207
unique_drugs,씨잘정5밀리그램(레보세티리진염산염)_(5mg/1정),levocetirizine dihydrochloride,87656,336421,20200101,20250804
unique_drugs,렉소팬정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),87095,308752,20200101,20250717
unique_drugs,베포스타비정(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,86259,342701,20200101,20250730
unique_drugs,휴온스리도카인염산염수화물주2%_(0.4266g/20mL),lidocaine hydrochloride,85845,248621,20200917,20250730
unique_drugs,헥사메딘액0.12%(클로르헥시딘글루콘산염액)_(0.6mL/100mL),chlorhexidine gluconate solution,85403,224464,20200105,20250806
unique_drugs,대한생리식염주사액(염화나트륨)_(0.18g/20mL/앰플(PP)),sodium chloride(0.9%),84662,204774,20200918,20250812
unique_drugs,맥페란주사액2밀리리터(메토클로프라미드염산염수화물)_(10mg/2mL),metoclopramide hydrochloride,83931,117311,20200101,20250805
unique_drugs,대한멸균생리식염수(생리식염주사액)_(0.9g/100mL/백),sodium chloride(0.9%),83806,142070,20200101,20250731
unique_drugs,"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)_(0.2g/10mL)",simethicone,83578,115496,20200101,20250729
unique_drugs,휴로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),83467,297306,20200101,20250722
unique_drugs,세토펜정325밀리그램(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated),81158,224635,20200101,20250724
unique_drugs,에스로반연고(무피로신)_(0.2g/10g),mupirocin,80257,196072,20200101,20250726
unique_drugs,포리부틴정(트리메부틴말레산염)_(0.1g/1정),trimebutine maleate,80242,245726,20200101,20250731
unique_drugs,뮤코라민정(레바미피드)_(0.1g/1정),rebamipide,79052,324803,20200101,20250806
unique_drugs,노르믹스정(리팍시민)_(0.2g/1정),rifaximin,78959,209255,20200101,20250726
unique_drugs,코싹엘정_(1정),levocetirizine dihydrochloride,78445,253835,20200101,20241219
unique_drugs,스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL),dioctahedral smectite,77725,193775,20210204,20250729
unique_drugs,스티렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),77033,243576,20200101,20250726
unique_drugs,제뉴원록소프로펜나트륨정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),72090,261235,20200101,20250726
unique_drugs,"케토신주사(케토롤락트로메타민염)(수출명:뉴케토신주사,NEWKETOCININJ)_(30mg/1mL)",ketorolac tromethamine,71919,101329,20200101,20250812
unique_drugs,엔시드8시간이알서방정650mg(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),71669,207282,20200101,20250731
unique_drugs,알피트주사(시메트로퓸브롬화물)_(5mg/1mL),cimetropium bromide,71510,93382,20200101,20250730
unique_drugs,파마염산슈도에페드린정_(60mg/1정),pseudoephedrine hydrochloride,69990,189895,20200101,20250327
unique_drugs,코데닝정_(1정),chlorpheniramine maleate,69770,209330,20200101,20250730
unique_drugs,이노엔0.9%생리식염주사액_(0.9g/100mL),sodium chloride(0.9%),69263,107463,20200101,20250801
unique_drugs,보나링에이정(디멘히드리네이트)_(50mg/1정),dimenhydrinate,69138,249388,20200101,20250731
unique_drugs,시클러캡슐250밀리그램(세파클러수화물)(수출명:BEARCLOR)_(0.25g/1캡슐),cefaclor hydrate,68660,217146,20200101,20250728
unique_drugs,휴메딕스트라마돌염산염주_(50mg/1mL),tramadol hydrochloride,68612,123331,20200101,20250727
unique_drugs,록소디펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),67181,223865,20200101,20250727
unique_drugs,동아가스터정20밀리그램(파모티딘)_(20mg/1정),famotidine,67079,198073,20200101,20250804
unique_drugs,마그밀정(수산화마그네슘)_(0.5g/1정),magnesium hydroxide,66972,252086,20200101,20250819
unique_drugs,씨투스정50mg(프란루카스트수화물)_(50mg/1정),pranlukast hydrate,66648,271146,20200102,20250730
unique_drugs,맥페란정(메토클로프라미드)_(3.84mg/1정),metoclopramide,66599,147952,20200101,20250725
unique_drugs,프리비투스현탁액(레보클로페라스틴펜디조산염)_(56.64mg/8mL),levocloperastine fendizoate (as cloperastine hydrochloride),66499,209077,20200101,20250809
unique_drugs,타이리콜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),66349,192138,20200101,20250731
unique_drugs,대한리도카인염산염수화물1%주_(0.2133g/20mL),lidocaine hydrochloride,66169,159278,20200101,20250729
unique_drugs,티로파정(티로프라미드염산염)_(0.1g/1정),tiropramide hydrochloride,66043,165129,20200101,20250725
unique_drugs,휴온스클로르페니라민말레산염주사액_(4mg/2mL),chlorpheniramine maleate,65895,119242,20200101,20250729
unique_drugs,메디솔론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,65612,262365,20200101,20250725
unique_drugs,뮤코세린캅셀(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,64278,217875,20200101,20250718
unique_drugs,페니라민주사(클로르페니라민말레산염)_(4mg/2mL),chlorpheniramine maleate,63555,117070,20200101,20250804
unique_drugs,종근당아목시실린캡슐500밀리그램_(0.5g/1캡슐),amoxicillin,63434,191631,20200101,20250804
unique_drugs,동화록소닌정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),63395,210231,20200101,20250729
unique_drugs,모사핀정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),62932,227343,20200101,20250802
unique_drugs,대웅바이오록소프로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),62914,205971,20200101,20250804
unique_drugs,중외엔에스주사액(염화나트륨)_(0.9g/100mL/백),sodium chloride(0.9%),62350,100808,20200101,20250725
unique_drugs,아나프록스정(나프록센나트륨)_(0.275g/1정),naproxen sodium,62087,202942,20200101,20250728
unique_drugs,아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),61907,167066,20200101,20250801
unique_drugs,"유한디나트륨인산덱사메타손주사액(수출명:덱사컴,유한덱사컴)_(5mg/1mL)",dexamethasone disodium phosphate,61470,111861,20200101,20250726
unique_drugs,레바트정(레바미피드)_(0.1g/1정),rebamipide,60977,215917,20200101,20250727
unique_drugs,록사펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),60755,213726,20200101,20250812
unique_drugs,도란찐주50밀리그람(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,60670,114433,20200101,20250716
unique_drugs,록스펜정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),60592,190737,20200101,20250804
unique_drugs,"코싹엘정(레보세티리진,슈도에페드린)_(1정)",levocetirizine dihydrochloride,59881,219316,20200921,20250730
unique_drugs,부루펜정200밀리그램(이부프로펜)_(0.2g/1정),ibuprofen,59319,166671,20200101,20250726
unique_drugs,아디팜정(히드록시진염산염)_(10mg/1정),hydroxyzine hydrochloride,59017,266483,20200101,20250726
unique_drugs,베아스타정(레바미피드)_(0.1g/1정),rebamipide,58385,229328,20200102,20250814
unique_drugs,엘스테인캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,58205,186241,20200101,20250723
unique_drugs,트라몰정325밀리그람(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated),57942,149794,20200101,20250718
unique_drugs,디부루펜정400밀리그램(덱시부프로펜디.씨)_(0.4g/1정),dexibuprofen,57661,176440,20200101,20250715
unique_drugs,에어탈정(아세클로페낙)_(0.1g/1정),aceclofenac,57518,188386,20200101,20250726
unique_drugs,"메디락디에스장용캡슐(바실루스서브틸리스균,엔테로코쿠스페슘균배양물)_(0.25g/1캡슐)","bacillus subtilis·streptococcus faecium(streptococcus faecium 9억마리,bacillus subtilis 1억마리)",57092,143577,20200101,20250725
unique_drugs,모사피트정5밀리그램(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),56671,216494,20200101,20250728
unique_drugs,타마돌주사(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,56527,107131,20200101,20250730
unique_drugs,맥스펜정(덱시부프로펜 디.씨.)_(0.3g/1정),dexibuprofen,55728,190460,20200101,20250728
unique_drugs,휴모리드정5mg(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),55549,204413,20200101,20250730
unique_drugs,인데놀정10mg(프로프라놀롤염산염)_(10mg/1정),propranolol hydrochloride,55118,432374,20200101,20250819
unique_drugs,휴레바정(레바미피드)_(0.1g/1정),rebamipide,54973,212801,20200101,20250717
unique_drugs,"히스판주(부틸스코폴라민브롬화물)(수출명:부스판주,디스코판주,DISPANInj.)_(20mg/1mL)",hyoscine butylbromide,53916,68932,20200101,20250728
unique_drugs,뮤코스텐캡슐(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,53228,182047,20200101,20250801
unique_drugs,애니코프캡슐300밀리그램(테오브로민)_(0.3g/1캡슐),theobromine,53130,160329,20200101,20250728
unique_drugs,오엔지질연질캡슐_(1캡슐),neomycin sulfate (as neomycin),52741,160084,20200102,20250723
unique_drugs,휴온스리도카인염산염수화물주1%_(0.2134g/20mL),lidocaine hydrochloride,52651,126657,20200101,20250727
unique_drugs,플라스마솔루션에이주_(1000mL),magnesium chloride,52425,66170,20200101,20250711
unique_drugs,"제일리도카인주사액_(리도카인염산염, 0.4g/20mL)",lidocaine hydrochloride,52345,129378,20200101,20250801
unique_drugs,맥시부펜이알정300밀리그램(덱시부프로펜)_(0.3g/1정),dexibuprofen,50961,155207,20200101,20250801
unique_drugs,겐타프로주사(겐타마이신황산염)_(80mg/2mL),gentamicin sulfate,50851,94405,20200102,20250727
unique_drugs,스토엠정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),50184,201538,20200102,20250728
unique_drugs,레미피드정(레바미피드)_(0.1g/1정),rebamipide,50161,207402,20200101,20250725
unique_drugs,모사피아정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),50146,186110,20200101,20250805
unique_drugs,아클펜정(아세클로페낙)_(0.1g/1정),aceclofenac,50038,197261,20200101,20250808
unique_drugs,중외생리식염주사액(수출명: 0.9% Sodium Chloride Inj.)_(0.18g/20mL),sodium chloride(0.9%),49596,94288,20200101,20250721
unique_drugs,애니펜정400밀리그램(덱시부프로펜)_(0.4g/1정),dexibuprofen,48972,127948,20200101,20250730
unique_drugs,레마이드정100밀리그램(레바미피드)_(0.1g/1정),rebamipide,48859,161312,20200101,20250722
unique_drugs,"멕쿨주(메토클로프라미드염산염)_(메토클로프라미드염산염수화물, 10mg/2mL)",metoclopramide hydrochloride,48790,64641,20200101,20250703
unique_drugs,베포탄정(베포타스틴살리실산염)_(9.64mg/1정),bepotastine salicylate (as bepotastine),47724,193818,20200101,20250728
unique_drugs,브로다제장용정(브로멜라인)_(0.1g/1정),bromelain,47499,152951,20200101,20250701
unique_drugs,신일슈도에페드린정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,47399,132644,20200101,20250731
unique_drugs,솔레톤정(잘토프로펜)_(80mg/1정),zaltoprofen,47399,117184,20200101,20250811
unique_drugs,록소탄정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),46730,165711,20200101,20250718
unique_drugs,키도라제정(스트렙토키나제·스트렙토도르나제)_(12.5KI.U/1정),"streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",46429,133229,20200101,20231206
unique_drugs,가리온정10밀리그램(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,46257,183892,20200102,20250731
unique_drugs,티램주(염산티로프라미드)_(50.01mg/3mL),tiropramide hydrochloride,46242,63109,20200101,20250725
unique_drugs,트리돌주50밀리그램(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,46241,70831,20200101,20250723
unique_drugs,로프민캡슐(로페라미드염산염)_(2mg/1캡슐),loperamide hydrochloride,46124,113677,20200101,20250716
unique_drugs,록소드펜정60밀리그램(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),46119,135747,20200101,20250812
unique_drugs,미다컴주5밀리그람(미다졸람)_(5mg/5mL),midazolam,45748,52974,20200102,20250707
unique_drugs,덱시부정400mg(덱시부프로펜디.씨)_(0.4g/1정),dexibuprofen,45709,137147,20200101,20250727
unique_drugs,브로나제장용정(브로멜라인)_(0.1g/1정),bromelain,45631,144483,20200103,20250807
unique_drugs,보령메이액트정100밀리그램(세프디토렌피복실)_(0.1g/1정),cefditoren pivoxil,45508,142277,20200101,20250818
unique_drugs,삼남아세트아미노펜정_(0.3g/1정),acetaminophen,45369,135006,20200101,20250803
unique_drugs,누코미트캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,45272,143603,20200102,20250715
unique_drugs,세페리손정(에페리손염산염)_(50mg/1정),eperisone hydrochloride,45268,165006,20200102,20250802
unique_drugs,엘도신캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,45265,139425,20200101,20250804
unique_drugs,메디론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,44947,166884,20200102,20250716
unique_drugs,애니펜정300밀리그램(덱시부프로펜)_(0.3g/1정),dexibuprofen,44847,115405,20200921,20250716
unique_drugs,카마졸질정(클로트리마졸)_(0.1g/1정),clotrimazole,44846,124932,20200102,20250730
unique_drugs,타스펜8시간이알서방정650밀리그람(아세트아미노펜)(수출명:도로돈이알정)_(0.65g/1정),acetaminophen(encapsulated),43927,120303,20200101,20250731
unique_drugs,펜렉스정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),43751,149854,20200101,20250714
unique_drugs,오티렌정[애엽이소프로판올연조엑스(20→1)]_(60mg/1정),artemisiae argyi folium isopropanol soft ext.(20→1),43554,159710,20200101,20250717
unique_drugs,바메딘정(레바미피드)_(0.1g/1정),rebamipide,43477,150670,20200101,20250728
unique_drugs,무코란정(레바미피드)_(0.1g/1정),rebamipide,43343,171005,20200101,20250811
unique_drugs,티메롤8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),43177,116376,20200101,20250725
unique_drugs,아이소펜정(덱시부프로펜)_(0.4g/1정),dexibuprofen,43137,123520,20200102,20250719
unique_drugs,"신풍겐타마이신주80밀리그램_(겐타마이신황산염, 80mg/2mL)",gentamicin sulfate,43124,75996,20200101,20250730
unique_drugs,한미파모티딘정20밀리그램(파모티딘)_(20mg/1정),famotidine,42922,133529,20200101,20250803
unique_drugs,로닌정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),42842,150939,20200101,20250718
unique_drugs,부광미다졸람주사_(5mg/5mL),midazolam,42831,52743,20200101,20250711
unique_drugs,바난정(세프포독심프록세틸)_(0.1g/1정),cefpodoxime proxetil,42821,122415,20200101,20250722
unique_drugs,휴메딕스린코마이신염산염주사600mg_(0.6g/2mL),lincomycin hydrochloride,42271,78594,20200101,20250723
unique_drugs,펙수클루정40밀리그램(펙수프라잔염산염)_(40mg/1정),fexuprazan hydrochloride,41934,144074,20220701,20250730
unique_drugs,포폴주사(프로포폴)(앰플)_(0.12g/12mL),propofol,41783,49407,20200101,20250730
unique_drugs,휴온스시메티딘정200밀리그램(수출명:TAGAMENTTab.200밀리그램)_(0.2g/1정),cimetidine,41762,152520,20200101,20250718
unique_drugs,칼로민에스정(펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1))_(20mg/1정),pelargonium sidoides 11% ethanol ext.(1→8~10) (as dried pelargonium sidoides ethanol ext.),41741,136721,20200101,20250804
unique_drugs,"바리다제정(스트렙토키나제,스트렙토도르나제)(군납명:스트렙토키나제-스트렙토도르나제정12500단위)_(12.5KI.U/1정)","streptokinase·streptodornase(streptokinase 10KI.U,streptodornase 2.5KI.U)",41428,104781,20200101,20231206
unique_drugs,바이독시정(독시사이클린수화물)_(0.1g/1정),doxycycline hydrate,41176,146893,20200102,20250726
unique_drugs,휴모사정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),41103,143609,20200101,20230912
unique_drugs,메프솔정4mg(메틸프레드니솔론)_(4mg/1정),methylprednisolone,40561,155113,20200102,20250725
unique_drugs,모사린정(모사프리드시트르산염수화물)_(5.29mg/1정),mosapride citrate hydrate (as mosapride),40052,145560,20200102,20250730
unique_drugs,삼진디아제팜정2밀리그람_(2mg/1정),diazepam,39444,172343,20200101,20250724
unique_drugs,리노에바스텔캡슐_(1캡슐),ebastine,39444,112500,20200101,20250801
unique_drugs,스테린정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),39408,155271,20200102,20250730
unique_drugs,네오메디코푸정_(1정),caffeine anhydrous,39361,136993,20200101,20250730
unique_drugs,우루사정100밀리그램(우르소데옥시콜산)_(0.1g/1정),ursodeoxycholic acid,39205,257976,20200101,20250726
unique_drugs,토라렌주(디클로페낙나트륨)(수출명:토페라렌주사(Toferareninjection))_(75mg/2mL),diclofenac sodium,38996,65922,20200101,20250715
unique_drugs,코데농정_(1정),caffeine anhydrous,38979,128393,20200101,20250801
unique_drugs,알레스틴정(에피나스틴염산염)_(10mg/1정),epinastine hydrochloride,38902,163330,20200101,20250718
unique_drugs,유니레바정(레바미피드)(수출명: 유니레다정)_(0.1g/1정),rebamipide,38596,155451,20200101,20250718
unique_drugs,오구멘틴정375밀리그램(아목시실린·클라불란산칼륨(2:1))_(1정),amoxicillin,38528,107155,20200101,20250721
unique_drugs,포리부틴정150mg(트리메부틴말레산염)_(0.15g/1정),trimebutine maleate,38430,110542,20200101,20250731
unique_drugs,낙소졸정500/20밀리그램_(1정),esomeprazole strontium tetrahydrate (as esomeprazol),38385,132697,20200101,20250725
unique_drugs,엘로틴캡슐(에르도스테인)_(0.3g/1캡슐),erdosteine,38160,122495,20200101,20250728
unique_drugs,오구멘틴정625밀리그램(아목시실린·클라불란산칼륨(4:1))_(1정),amoxicillin,37943,102605,20200101,20250723
unique_drugs,동광록소프로펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),37887,135521,20200101,20250718
unique_drugs,뮤코다인캡슐200mg(아세틸시스테인)_(0.2g/1캡슐),acetylcysteine,37847,131234,20200101,20250725
unique_drugs,록펜정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),37776,123474,20200102,20250720
unique_drugs,한미알마게이트정500밀리그램(알마게이트)_(0.5g/1정),almagate,37702,114532,20200101,20250723
unique_drugs,메치론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,37617,142410,20200101,20250728
unique_drugs,데노간주(프로파세타몰염산염)_(1g/1병),propacetamol hydrochloride,37521,49608,20200101,20250805
unique_drugs,대원덱사메타손주사액(덱사메타손포스페이트이나트륨)_(5mg/1mL),dexamethasone disodium phosphate,37207,66188,20200101,20250630
unique_drugs,록소론정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),37082,131499,20200101,20250725
unique_drugs,휴텍스파모티딘정20mg_(20mg/1정),famotidine,36919,138311,20200101,20250728
unique_drugs,오티렌F정[애엽이소프로판올연조엑스(20→1)]_(90mg/1정),artemisiae argyi folium isopropanol ext.,36873,132557,20200101,20250731
unique_drugs,뮤코졸정(브롬헥신염산염)_(8mg/1정),bromhexine hydrochloride,36853,116016,20200101,20250719
unique_drugs,록소날정(록소프로펜나트륨)_(60mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),36835,120132,20200101,20250722
unique_drugs,러키펜정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium),36776,122453,20200101,20250706
unique_drugs,지스로맥스정250밀리그람(아지트로마이신수화물)_(0.25g/1정),azithromycin,36635,93901,20200102,20250726
unique_drugs,엠솔론정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,36470,140675,20200101,20250809
unique_drugs,고덱스캡슐_(1캡슐),adenine hydrochloride,36465,237610,20200101,20250724
unique_drugs,에페신정(에페리손염산염)(수출명:에페잔정(Epezantablet))_(50mg/1정),eperisone hydrochloride,36417,115046,20200101,20250726
unique_drugs,삼성세파클러캡슐250밀리그람_(0.25g/1캡슐),cefaclor hydrate,36370,114235,20200102,20250722
unique_drugs,프레나정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,36246,147798,20200101,20250726
unique_drugs,씨트클러캡슐250밀리그램(세파클러수화물)_(0.25g/1캡슐),cefaclor hydrate,36100,115352,20200101,20250719
unique_drugs,트로돈주사(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride,35792,64752,20200101,20250725
unique_drugs,엔테론정150밀리그람(포도씨건조엑스)_(0.15g/1정),vitis vinifera ext.,35759,154883,20200101,20250729
unique_drugs,안국레바미피드정(레바미피드)_(0.1g/1정),rebamipide,35720,124446,20200101,20250730
unique_drugs,암펙솔정(암브록솔염산염)_(30mg/1정),ambroxol hydrochloride,35717,117035,20200101,20250630
unique_drugs,디크놀주사2밀리리터(디클로페낙β-디메틸아미노에탄올)_(90mg/2mL),diclofenac-β-dimethyl-aminoethanol,35676,52555,20200101,20250713
unique_drugs,휴온스아티카인에피네프린주1/10만_(1.7mL),articaine hydrochloride,35656,75144,20200102,20250630
unique_drugs,세파로캡슐(세파클러수화물)_(0.25g/1캡슐),cefaclor hydrate,35628,107966,20200101,20250724
unique_drugs,베스티딘정20밀리그램(파모티딘)_(20mg/1정),famotidine,35589,127383,20200101,20250730
unique_drugs,스티렌투엑스정(애엽95%에탄올연조엑스(20→1))_(90mg/1정),artemisiae argyi folium 95% ethanol ext.(20→1),35576,114336,20200101,20250731
unique_drugs,"대화이부프로펜정400밀리그람(수출명:UPRO400,IBUFEN)_(0.4g/1정)",ibuprofen,35521,97315,20200102,20250725
