1category,code,disease_names,patient_count,occurrence_count
unique_disease_codes,AS610,"[""(양방)손톱의 손상이 없는 손가락의 열린상처"",""""]",56320,195119
unique_disease_codes,AL509,"[""(양방)상세불명의 두드러기""]",54910,140649
unique_disease_codes,AR074,"[""(양방)상세불명의 흉통"",""""]",54626,112594
unique_disease_codes,AE119,"[""(양방)합병증을 동반하지 않은 2형 당뇨병""]",54532,895804
unique_disease_codes,AK588,"[""(양방)기타 및 상세불명 유형의 과민대장 증후군""]",53136,105455
unique_disease_codes,AR42,"[""(양방)어지럼증 및 어지럼""]",53034,114136
unique_disease_codes,AN939,"[""(양방)상세불명의 이상 자궁 및 질 출혈""]",51105,104696
unique_disease_codes,AS434,"["""",""(양방)어깨관절의 염좌 및 긴장""]",50888,162554
unique_disease_codes,AJ343,"[""(양방)코선반의 비대"",""""]",49945,142906
unique_disease_codes,AJ111,"[""(양방)바이러스가 확인되지 않은 기타 호흡기증상을 동반한 인플루엔자"",""(양방)바이러스가 확인되지 않은, 기타 호흡기증상을 동반한 인플루엔자"",""""]",49737,86797
unique_disease_codes,AN341,"["""",""(양방)비특이성 요도염""]",48868,156654
unique_disease_codes,AA049,"[""(양방)상세불명의 세균성 장감염""]",47237,95941
unique_disease_codes,AH521,"[""(양방)근시"",""""]",46564,83020
unique_disease_codes,AH001,"[""(양방)콩다래끼"",""""]",46411,117427
unique_disease_codes,BM5422,"[""(한방)경추통, 경부"",""(한방)경추통 경부""]",46224,155793
unique_disease_codes,AR1039,"[""(양방)상세불명의 하복부통증""]",45145,77707
unique_disease_codes,AB351,"[""(양방)손발톱백선""]",44157,199286
unique_disease_codes,AK0318,"[""(양방)치아의 기타 명시된 마모""]",43794,64035
unique_disease_codes,AM771,"[""(양방)외측상과염""]",43239,245093
unique_disease_codes,AH108,"[""(양방)기타 결막염""]",43011,91960
unique_disease_codes,AZ000,"[""(양방)일반적 의학검사""]",42959,48363
unique_disease_codes,AS2340,"[""(양방)늑골의 염좌 및 긴장""]",42756,88212
unique_disease_codes,AR5099,"[""(양방)상세불명의 열""]",41770,67207
unique_disease_codes,AL209,"["""",""(양방)상세불명의 아토피성 피부염""]",40311,184268
unique_disease_codes,AZ463,"[""(양방)치과보철 장치의 부착 및 조정을 위하여 보건서비스와 접하고 있는 사람""]",40260,56378
unique_disease_codes,AM751,"[""(양방)회전근개증후군""]",40043,206426
unique_disease_codes,AS936,"[""(양방)발의 기타 및 상세불명 부분의 염좌 및 긴장""]",39990,90328
unique_disease_codes,AN912,"[""(양방)상세불명의 무월경""]",39235,72486
unique_disease_codes,AM501,"[""(양방)신경뿌리병증을 동반한 경추간판장애""]",38571,192378
unique_disease_codes,AS6358,"[""(양방)손목의 기타 부분의 염좌 및 긴장""]",37768,100233
unique_disease_codes,AK769,"[""(양방)상세불명의 간질환""]",37523,78786
unique_disease_codes,AK022,"[""(양방)시멘트질의 우식""]",37364,76468
unique_disease_codes,AF329,"["""",""(양방)상세불명의 우울에피소드""]",37199,417643
unique_disease_codes,AJ320,"[""(양방)만성 상악동염"",""""]",37145,112338
unique_disease_codes,AJ219,"[""(양방)상세불명의 급성 세기관지염""]",37052,103357
unique_disease_codes,AJ36,"[""(양방)편도주위농양""]",36953,98074
unique_disease_codes,AB353,"[""(양방)발백선""]",36569,100634
unique_disease_codes,AL040,"[""(양방)얼굴 머리 및 목의 급성 림프절염"","""",""(양방)얼굴, 머리 및 목의 급성 림프절염""]",36034,85983
unique_disease_codes,AJ302,"["""",""(양방)기타 계절성 알레르기비염""]",35981,92783
unique_disease_codes,AL0201,"["""",""(양방)얼굴의 종기""]",35701,110366
unique_disease_codes,AH6038,"[""(양방)기타 감염성 외이도염""]",35274,91652
unique_disease_codes,AR05,"[""(양방)기침"",""""]",34848,73122
unique_disease_codes,AK035,"[""(양방)치아의 강직증""]",34598,69865
unique_disease_codes,AH612,"[""(양방)귀지떡""]",34343,63506
unique_disease_codes,AZ3480,"[""(양방)기타 정상임신의 관리, 임신 22주 미만"",""(양방)기타 정상임신의 관리 임신 22주 미만""]",34330,204458
unique_disease_codes,BM6261,"[""(한방)근육긴장, 어깨부분"",""(한방)근육긴장 어깨부분""]",33712,117973
unique_disease_codes,AK0538,"[""(양방)기타 명시된 만성 치주염""]",33335,67267
unique_disease_codes,BK30,"["""",""(한방)기능성 소화불량""]",33043,115783
unique_disease_codes,AZ038,"[""(양방)기타 의심되는 질환 및 병태의 관찰 배제된"","""",""(양방)기타 의심되는 질환 및 병태의 관찰, 배제된""]",33003,53420
unique_disease_codes,AH103,"[""(양방)상세불명의 급성 결막염""]",32934,69644
unique_disease_codes,AK0522,"[""(양방)급성 치관주위염""]",32844,55196
unique_disease_codes,AJ0391,"[""(양방)재발성 상세불명의 급성 편도염""]",32763,79845
unique_disease_codes,AM170,"["""",""(양방)양쪽 원발성 무릎관절증""]",32556,213135
unique_disease_codes,AJ22,"["""",""(양방)상세불명의 급성 하기도감염""]",32221,85478
unique_disease_codes,AM79198,"[""(양방)기타 근통, 상세불명 부분"","""",""(양방)기타 근통 상세불명 부분""]",32143,62531
unique_disease_codes,AB07,"[""(양방)바이러스사마귀""]",31793,126659
unique_disease_codes,AS6359,"[""(양방)손목의 상세불명 부분의 염좌 및 긴장""]",31686,84008
unique_disease_codes,BS337,"[""(한방)요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장""]",31585,112575
unique_disease_codes,AH162,"[""(양방)각막결막염""]",31499,73303
unique_disease_codes,AM754,"[""(양방)어깨의 충격증후군"",""""]",31308,137406
unique_disease_codes,AK581,"[""(양방)설사 위주의 과민대장증후군 [IBS-D]""]",31169,63073
unique_disease_codes,AM5457,"[""(양방)요통 요천부"",""(양방)요통, 요천부""]",31077,109252
unique_disease_codes,AB029,"["""",""(양방)합병증이 없는 대상포진""]",31012,92387
unique_disease_codes,AM750,"["""",""(양방)어깨의 유착성 관절낭염""]",30959,164254
unique_disease_codes,AK074,"[""(양방)상세불명의 부정교합""]",30649,41570
unique_disease_codes,AL089,"[""(양방)피부 및 피하조직의 상세불명의 국소감염"",""""]",29921,73139
unique_disease_codes,AH1618,"[""(양방)기타 및 상세불명의 표재성 각막염""]",29651,72124
unique_disease_codes,AL219,"[""(양방)상세불명의 지루피부염""]",28850,94135
unique_disease_codes,BS9349,"[""(한방)발목의 상세불명 부분의 염좌 및 긴장""]",28835,96303
unique_disease_codes,AH5221,"[""(양방)규칙난시""]",28801,53751
unique_disease_codes,AJ459,"[""(양방)상세불명의 천식""]",28321,137262
unique_disease_codes,AK0532,"[""(양방)만성 치관주위염""]",28239,46323
unique_disease_codes,AT856,"[""(양방)기타 명시된 내부 인공삽입장치 삽입물 및 이식편의 기계적 합병증"","""",""(양방)기타 명시된 내부 인공삽입장치, 삽입물 및 이식편의 기계적 합병증""]",28005,37603
unique_disease_codes,AH109,"[""(양방)상세불명의 결막염""]",28004,59234
unique_disease_codes,BS434,"[""(한방)어깨관절의 염좌 및 긴장""]",27991,104813
unique_disease_codes,AG442,"[""(양방)긴장형두통""]",27888,66059
unique_disease_codes,AE782,"[""(양방)혼합성 고지질혈증""]",27872,152418
unique_disease_codes,AH609,"[""(양방)상세불명의 외이도염""]",27497,67445
unique_disease_codes,AN946,"[""(양방)상세불명의 월경통""]",27328,59407
unique_disease_codes,AJ310,"["""",""(양방)만성 비염""]",27192,72758
unique_disease_codes,BM79118,"[""(한방)기타 근통 어깨부분"",""(한방)기타 근통, 어깨부분""]",27081,95151
unique_disease_codes,AJ350,"["""",""(양방)만성 편도염""]",26900,72615
unique_disease_codes,AB001,"[""(양방)헤르페스바이러스 소수포피부염""]",26754,61215
unique_disease_codes,AN926,"[""(양방)상세불명의 불규칙월경""]",26611,49256
unique_disease_codes,AK01163,"["""",""(양방)상악제3대구치의 매복""]",26337,44680
unique_disease_codes,AG439,"[""(양방)상세불명의 편두통""]",26278,82894
unique_disease_codes,AH400,"[""(양방)녹내장 의심""]",25881,61933
unique_disease_codes,BM5457,"[""(한방)요통, 요천부"",""(한방)요통 요천부""]",25778,100491
unique_disease_codes,AN342,"[""(양방)기타 요도염""]",25765,76039
unique_disease_codes,AK299,"["""",""(양방)상세불명의 위십이지장염""]",25719,57486
unique_disease_codes,AJ342,"[""(양방)편위된 비중격""]",25423,83351
unique_disease_codes,AS337,"["""",""(양방)요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장""]",25235,75682
unique_disease_codes,AH811,"[""(양방)양성 발작성 현기증"",""""]",24875,73670
unique_disease_codes,AL259,"[""(양방)상세불명 원인의 상세불명의 접촉피부염""]",24777,60595
unique_disease_codes,AM4806,"[""(양방)척추협착 요추부"",""(양방)척추협착, 요추부""]",24439,142153
unique_disease_codes,AJ0180,"[""(양방)재발성으로 명시되어 있지 않은 기타 급성 부비동염""]",24403,64870
unique_disease_codes,AS6369,"["""",""(양방)손가락의 상세불명 부분의 염좌 및 긴장""]",24276,51506
unique_disease_codes,AH0000,"[""(양방)외맥립종""]",24089,51929
unique_disease_codes,AZ3481,"[""(양방)기타 정상임신의 관리, 임신 22주 이상 ~ 34주 미만"",""(양방)기타 정상임신의 관리 임신 22주 이상 ~ 34주 미만""]",23754,98563
unique_disease_codes,AK121,"[""(양방)구내염의 기타 형태""]",23129,42129
unique_disease_codes,AM2557,"[""(양방)관절통 발목 및 발"",""(양방)관절통, 발목 및 발""]",22769,60469
unique_disease_codes,AN938,"[""(양방)기타 명시된 이상 자궁 및 질 출혈""]",22667,43280
unique_disease_codes,AR113,"[""(양방)구토를 동반한 구역""]",22640,39354
unique_disease_codes,AK0760,"[""(양방)턱관절내장증""]",22496,60245
unique_disease_codes,AM722,"[""(양방)발바닥근막성 섬유종증""]",22207,87263
unique_disease_codes,AM512,"["""",""(양방)기타 명시된 추간판전위""]",22096,95091
unique_disease_codes,AL248,"["""",""(양방)기타 요인에 의한 자극물접촉피부염""]",22043,53260
unique_disease_codes,AN309,"[""(양방)상세불명의 방광염""]",21955,54881
unique_disease_codes,AK759,"[""(양방)상세불명의 염증성 간질환""]",21936,63569
unique_disease_codes,AS932,"[""(양방)발목 및 발 부위의 인대의 파열"",""""]",21891,109459
unique_disease_codes,AL039,"[""(양방)상세불명의 연조직염"",""""]",21869,51915
unique_disease_codes,AS800,"[""(양방)무릎의 타박상""]",21857,47217
unique_disease_codes,AG470,"[""(양방)수면 개시 및 유지 장애[불면증]""]",21318,161954
unique_disease_codes,AL84,"[""(양방)티눈 및 굳은살""]",21292,61494
unique_disease_codes,AD259,"[""(양방)상세불명의 자궁의 평활근종""]",21278,60468
unique_disease_codes,BM6268,"[""(한방)근육긴장 기타 부분"",""(한방)근육긴장, 기타 부분""]",21136,66478
unique_disease_codes,AT140,"[""(양방)상세불명의 신체부위의 표재성 손상""]",21068,39869
unique_disease_codes,AL720,"["""",""(양방)표피낭""]",20966,75924
unique_disease_codes,AK760,"[""(양방)달리 분류되지 않은 지방(변화성)간""]",20876,47736
unique_disease_codes,AK0500,"[""(양방)급성 연쇄알균치은구내염"",""""]",20871,32503
unique_disease_codes,AS637,"[""(양방)손의 기타 및 상세불명 부분의 염좌 및 긴장""]",20830,44253
unique_disease_codes,AN86,"[""(양방)자궁경부의 미란 및 외반""]",20475,50518
unique_disease_codes,BS9348,"[""(한방)발목의 기타 부분의 염좌 및 긴장""]",20434,65008
unique_disease_codes,AM179,"["""",""(양방)상세불명의 무릎관절증""]",20405,92737
unique_disease_codes,AK0528,"[""(양방)기타 명시된 급성 치주염""]",20402,36241
unique_disease_codes,AR945,"[""(양방)간기능검사의 이상결과""]",20382,46894
unique_disease_codes,AS6368,"[""(양방)손가락의 기타 부분의 염좌 및 긴장"",""""]",20371,42453
unique_disease_codes,AN644,"[""(양방)유방통""]",20276,30130
unique_disease_codes,AB342,"[""(양방)상세불명 부위의 코로나바이러스감염""]",20273,37668
unique_disease_codes,AM2556,"[""(양방)관절통, 아래다리"",""(양방)관절통 아래다리""]",20272,56079
unique_disease_codes,AJ370,"[""(양방)만성 후두염""]",20045,55440
unique_disease_codes,AM5459,"[""(양방)요통 상세불명의 부위"",""(양방)요통, 상세불명의 부위""]",19923,57905
unique_disease_codes,AJ0300,"[""(양방)재발성으로 명시되어 있지 않은 연쇄알균편도염"",""""]",19482,52824
unique_disease_codes,AN63,"[""(양방)유방의 상세불명의 덩이"",""""]",19456,45554
unique_disease_codes,AL739,"[""(양방)상세불명의 모낭장애""]",19363,70569
unique_disease_codes,AK0518,"[""(양방)기타 명시된 만성 치은염""]",19340,25463
unique_disease_codes,AR002,"["""",""(양방)두근거림""]",19296,44014
unique_disease_codes,AE041,"[""(양방)비독성 단순갑상선 결절""]",19147,50675
unique_disease_codes,AF419,"[""(양방)상세불명의 불안장애""]",18960,120892
unique_disease_codes,AS602,"[""(양방)손목 및 손의 기타 부분의 타박상"",""""]",18946,36151
unique_disease_codes,AM171,"["""",""(양방)기타 원발성 무릎관절증""]",18891,94294
unique_disease_codes,AZ3482,"[""(양방)기타 정상임신의 관리 임신 34주 이상 ~ 37주 미만"",""(양방)기타 정상임신의 관리, 임신 34주 이상 ~ 37주 미만""]",18816,43255
unique_disease_codes,AJ189,"[""(양방)상세불명의 폐렴""]",18539,52506
unique_disease_codes,AK0520,"[""(양방)동이 없는 잇몸 기원의 치주농양""]",18438,37308
unique_disease_codes,AD239,"["""",""(양방)상세불명의 피부의 양성 신생물""]",18406,43679
unique_disease_codes,AB354,"[""(양방)체부백선""]",18404,47999
unique_disease_codes,AZ392,"[""(양방)일상적 분만후 추후관리""]",18371,33961
unique_disease_codes,AK5909,"[""(양방)기타 및 상세불명 변비""]",18189,45482
unique_disease_codes,AN201,"[""(양방)요관의 결석""]",18072,67985
unique_disease_codes,BS836,"[""(한방)무릎의 기타 및 상세불명 부분의 염좌 및 긴장""]",17874,68064
unique_disease_codes,AA638,"["""",""(양방)기타 명시된 주로 성행위로 전파되는 질환""]",17713,37801
unique_disease_codes,AH931,"["""",""(양방)이명""]",17702,48344
unique_disease_codes,AB009,"[""(양방)상세불명의 헤르페스바이러스감염""]",17671,40561
unique_disease_codes,AN411,"[""(양방)만성 전립선염""]",17626,79350
unique_disease_codes,AJ328,"[""(양방)기타 만성 부비동염"",""""]",17562,58394
unique_disease_codes,AR12,"[""(양방)속쓰림""]",17506,30346
unique_disease_codes,AM2551,"[""(양방)관절통 어깨부분"",""(양방)관절통, 어깨부분"",""""]",17438,57470
unique_disease_codes,AS618,"[""(양방)손목 및 손의 기타 부분의 열린상처""]",17395,52672
unique_disease_codes,AE039,"[""(양방)상세불명의 갑상선기능저하증"",""""]",17306,146436
unique_disease_codes,AM2554,"[""(양방)관절통, 손"",""(양방)관절통 손"",""""]",17292,44400
unique_disease_codes,AR100,"[""(양방)급성 복증"",""""]",17242,30591
unique_disease_codes,AS202,"[""(양방)흉부의 타박상"",""""]",17208,29910
unique_disease_codes,AF410,"[""(양방)공황장애[우발적 발작성 불안]""]",17046,222159
unique_disease_codes,AJ324,"["""",""(양방)만성 범부비동염""]",16978,58302
unique_disease_codes,AM6583,"[""(양방)기타 윤활막염 및 힘줄윤활막염 아래팔"",""(양방)기타 윤활막염 및 힘줄윤활막염, 아래팔""]",16786,48657
unique_disease_codes,AK295,"[""(양방)상세불명의 만성 위염""]",16713,35934
unique_disease_codes,AN400,"[""(양방)합병증을 동반하지 않은 전립선증식증"",""""]",16628,111933
unique_disease_codes,AM6587,"[""(양방)기타 윤활막염 및 힘줄윤활막염 발목 및 발"","""",""(양방)기타 윤활막염 및 힘줄윤활막염, 발목 및 발""]",16532,43932
unique_disease_codes,AF321,"[""(양방)중등도 우울에피소드"",""""]",16516,199501
unique_disease_codes,AJ340,"[""(양방)코의 농양 종기 및 큰종기"",""(양방)코의 농양, 종기 및 큰종기""]",16401,41108
unique_disease_codes,AS935,"[""(양방)발가락의 염좌 및 긴장"",""""]",16401,32703
unique_disease_codes,AH6088,"[""(양방)기타 외이도염"",""""]",16352,37929
unique_disease_codes,AM79188,"["""",""(양방)기타 근통, 기타 부분"",""(양방)기타 근통 기타 부분""]",16349,32977
unique_disease_codes,AD509,"["""",""(양방)상세불명의 철결핍빈혈""]",16305,47418
unique_disease_codes,AL303,"[""(양방)감염성 피부염""]",16107,37118
unique_disease_codes,BM5423,"[""(한방)경추통, 경흉추부"",""(한방)경추통 경흉추부""]",16072,53266
unique_disease_codes,AN761,"["""",""(양방)아급성 및 만성 질염""]",15947,40380
unique_disease_codes,AM6584,"[""(양방)기타 윤활막염 및 힘줄윤활막염, 손"","""",""(양방)기타 윤활막염 및 힘줄윤활막염 손""]",15838,41245
unique_disease_codes,AM5423,"["""",""(양방)경추통, 경흉추부"",""(양방)경추통 경흉추부""]",15835,56185
unique_disease_codes,AR739,"[""(양방)상세불명의 고혈당증"",""""]",15758,28802
unique_disease_codes,AK649,"[""(양방)상세불명의 치핵""]",15639,44370
unique_disease_codes,AL853,"[""(양방)피부건조증""]",15607,38190
unique_disease_codes,AM766,"[""(양방)아킬레스힘줄염"",""""]",15550,56265
unique_disease_codes,AN768,"["""",""(양방)질 및 외음의 기타 명시된 염증""]",15545,37949
unique_disease_codes,AH0008,"[""(양방)눈꺼풀의 기타 심부염증""]",15502,32667
unique_disease_codes,AJ068,"["""",""(양방)여러 부위의 기타 급성 상기도감염""]",15336,34007
unique_disease_codes,AL910,"[""(양방)비대성 흉터""]",15263,59963
unique_disease_codes,AT141,"[""(양방)상세불명의 신체부위의 열린상처"",""""]",15254,32826
unique_disease_codes,AH359,"["""",""(양방)상세불명의 망막장애""]",15250,31360
unique_disease_codes,AL2088,"[""(양방)기타 아토피성 피부염"",""""]",15247,66708
unique_disease_codes,AF320,"[""(양방)경도 우울에피소드""]",15225,152688
unique_disease_codes,AF510,"[""(양방)비기질성 불면증""]",15218,136139
unique_disease_codes,AN911,"["""",""(양방)이차성 무월경""]",15192,26153
unique_disease_codes,AS0600,"[""(양방)열린 두개내상처가 없는 진탕""]",15180,24132
unique_disease_codes,AS600,"[""(양방)손톱의 손상이 없는 손가락의 타박상"",""""]",15175,26396
unique_disease_codes,AS903,"[""(양방)발의 기타 및 상세불명 부분의 타박상"",""""]",14899,27577
unique_disease_codes,AK294,"[""(양방)만성 위축성 위염""]",14895,27400
unique_disease_codes,AT151,"[""(양방)결막낭의 이물""]",14834,26082
unique_disease_codes,AR073,"[""(양방)기타 흉통"",""""]",14774,25864
unique_disease_codes,AK0508,"[""(양방)기타 명시된 급성 치은염""]",14696,21208
unique_disease_codes,AM1007,"[""(양방)특발성 통풍, 발목 및 발"","""",""(양방)특발성 통풍 발목 및 발""]",14674,96109
unique_disease_codes,AE784,"[""(양방)기타 고지질혈증""]",14650,65590
unique_disease_codes,AL038,"[""(양방)기타 부위의 연조직염""]",14620,33730
unique_disease_codes,AK642,"[""(양방)3도 치핵""]",14604,59077
unique_disease_codes,AL0200,"[""(양방)얼굴의 피부농양""]",14601,41179
unique_disease_codes,AK020,"[""(양방)법랑질에 제한된 우식""]",14512,17896
unique_disease_codes,AN319,"[""(양방)방광의 상세불명의 신경근육기능장애""]",14498,54183
unique_disease_codes,AH105,"["""",""(양방)안검결막염""]",14457,31632
unique_disease_codes,AH010,"[""(양방)안검염"",""""]",14438,33222
unique_disease_codes,AK120,"[""(양방)재발성 구강 아프타""]",14431,32381
unique_disease_codes,AH193,"[""(양방)달리 분류된 기타 질환에서의 각막염 및 각막결막염"",""""]",14420,35767
unique_disease_codes,AN390,"[""(양방)부위가 명시되지 않은 요로감염""]",14297,35297
unique_disease_codes,AM5446,"[""(양방)좌골신경통을 동반한 요통, 요추부"",""(양방)좌골신경통을 동반한 요통 요추부"",""""]",14265,57771
unique_disease_codes,AK0400,"[""(양방)가역적 치수염"",""""]",14172,24563
unique_disease_codes,AH905,"[""(양방)상세불명의 감각신경성 청력소실"",""""]",14119,32085
unique_disease_codes,AM79110,"[""(양방)근근막통증후군, 어깨부분"","""",""(양방)근근막통증후군 어깨부분""]",14089,43842
unique_disease_codes,AL210,"[""(양방)두피지루""]",14043,41818
unique_disease_codes,AM765,"[""(양방)무릎뼈힘줄염"",""""]",13936,43438
unique_disease_codes,AS22330,"[""(양방)제1늑골 이외 단일 늑골의 골절,폐쇄성"",""(양방)제1늑골 이외 단일 늑골의 골절폐쇄성"",""""]",13921,38668
unique_disease_codes,AT16,"[""(양방)귀의 이물""]",13910,21241
unique_disease_codes,AK2531,"[""(양방)출혈 또는 천공이 없는 급성 위궤양""]",13843,35867
unique_disease_codes,AL280,"[""(양방)만성 단순태선""]",13799,41286
unique_disease_codes,AL0311,"[""(양방)다리의 연조직염""]",13766,46757
unique_disease_codes,AM5450,"[""(양방)요통 척추의 여러 부위"",""(양방)요통, 척추의 여러 부위""]",13728,42240
unique_disease_codes,AE559,"[""(양방)상세불명의 비타민D결핍""]",13709,30632
unique_disease_codes,AJ312,"[""(양방)만성 인두염""]",13600,35355
unique_disease_codes,AL218,"["""",""(양방)기타 지루피부염""]",13553,42466
unique_disease_codes,AH6500,"[""(양방)급성 장액성 중이염 한쪽 또는 상세불명"",""(양방)급성 장액성 중이염, 한쪽 또는 상세불명"",""""]",13532,37091
unique_disease_codes,AE118,"[""(양방)상세불명의 합병증을 동반한 2형 당뇨병""]",13524,165425
unique_disease_codes,AF412,"[""(양방)혼합형 불안 및 우울장애""]",13486,120563
unique_disease_codes,AJ42,"["""",""(양방)상세불명의 만성 기관지염""]",13390,30932
