category,name,code,patient_count,occurrence_count,first_occurrence,last_occurrence
unique_diseases,(한방)요추의 염좌 및 긴장,BS3350,106888,393959,20200101,20250801
unique_diseases,(양방)재발성으로 명시되어 있지 않은 상세불명의 급성 부비동염,AJ0190,104566,321709,20200101,20250814
unique_diseases,(양방)상세불명의 복통,AR1049,95780,183174,20200101,20250818
unique_diseases,(양방)급성 아토피결막염,AH101,95420,253450,20200102,20250814
unique_diseases,(양방)자궁경부의 염증성 질환,AN72,92530,275752,20200102,20250729
unique_diseases,(양방)경추통 경부,AM5422,92256,379558,20200919,20250802
unique_diseases,(양방)경추의 염좌 및 긴장,AS134,89285,273529,20200101,20250807
unique_diseases,(양방)두통,AR51,85971,193999,20200101,20250801
unique_diseases,(양방)기타 치아우식,AK028,82185,132271,20200102,20250730
unique_diseases,(양방)신경뿌리병증을 동반한 요추 및 기타 추간판장애(G55.1*),AM511,78453,449930,20200101,20250731
unique_diseases,(양방)급성 질염,AN760,78299,244470,20200102,20250805
unique_diseases,(양방)계절성 인플루엔자바이러스가 확인된 기타 호흡기 증상을 동반한 인플루엔자,AJ101,75822,137544,20210424,20250626
unique_diseases,(양방)상세불명의 비감염성 위장염 및 결장염,AK529,75088,150621,20200101,20250728
unique_diseases,(양방)기타 위염,AK296,73814,151718,20200101,20250816
unique_diseases,(양방)결장의 폴립,AK635,73466,122491,20200118,20250809
unique_diseases,(한방)경추의 염좌 및 긴장,BS134,71870,232195,20200101,20250731
unique_diseases,(양방)급성 방광염,AN300,71145,224115,20200102,20250730
unique_diseases,(양방)발목의 기타 부분의 염좌 및 긴장,AS9348,69592,201891,20200101,20250721
unique_diseases,(양방)기타 요인에 의한 알레르기성 접촉피부염,AL238,67402,196207,20200102,20250728
unique_diseases,(양방)상세불명의 고지질혈증,AE785,66362,347157,20200102,20250808
unique_diseases,(양방)발목의 상세불명 부분의 염좌 및 긴장,AS9349,64828,183433,20200101,20250722
unique_diseases,(양방)무릎의 기타 및 상세불명 부분의 염좌 및 긴장,AS836,63864,189734,20200101,20250729
unique_diseases,(양방)알레르기성 두드러기,AL500,63563,173568,20200101,20250806
unique_diseases,(양방)외음 및 질의 칸디다증(N77.1*),AB373,62470,189883,20200101,20250725
unique_diseases,(양방)상세불명의 만성 부비동염,AJ329,59800,192613,20200102,20250730
unique_diseases,(양방)기능성 소화불량,AK30,59529,119617,20200102,20250726
unique_diseases,(양방)상세불명의 기능성 장장애,AK599,59521,113977,20200102,20250715
unique_diseases,(양방)급성 후두기관염,AJ042,59391,151232,20200101,20250731
unique_diseases,(양방)상세불명 원인의 자극물접촉피부염,AL249,58973,158565,20200102,20250728
unique_diseases,(양방)기타 근통 여러 부위,AM79108,58579,123572,20200917,20250729
unique_diseases,(양방)재발성으로 명시되어 있지 않은 급성 상악동염,AJ0100,57945,164844,20200102,20250721
unique_diseases,(한방)요통 요추부,BM5456,57843,231342,20200917,20250810
unique_diseases,(양방)내맥립종,AH0001,57741,133967,20200101,20250719
unique_diseases,(양방)상세불명의 피부염,AL309,57287,156177,20200102,20250730
unique_diseases,(양방)동이 없는 근단주위농양,AK047,56699,180628,20200102,20250729
unique_diseases,(양방)손톱의 손상이 없는 손가락의 열린상처,AS610,56280,194975,20200101,20250731
unique_diseases,(양방)상세불명의 두드러기,AL509,54910,140649,20200102,20250803
unique_diseases,(양방)상세불명의 흉통,AR074,54585,112494,20200101,20250814
unique_diseases,(양방)합병증을 동반하지 않은 2형 당뇨병,AE119,54532,895804,20200101,20250823
unique_diseases,(양방)기타 및 상세불명 유형의 과민대장 증후군,AK588,53136,105455,20210102,20250726
unique_diseases,(양방)어지럼증 및 어지럼,AR42,53034,114136,20200101,20250720
unique_diseases,(양방)상세불명의 이상 자궁 및 질 출혈,AN939,51105,104696,20200102,20250731
unique_diseases,(양방)어깨관절의 염좌 및 긴장,AS434,50857,162480,20200101,20250729
unique_diseases,(양방)코선반의 비대,AJ343,49945,142903,20200102,20250725
unique_diseases,(양방)비특이성 요도염,AN341,48832,156540,20200102,20250730
unique_diseases,(양방)상세불명의 세균성 장감염,AA049,47237,95941,20200101,20250806
unique_diseases,(양방)근시,AH521,46563,83019,20200102,20250729
unique_diseases,(양방)콩다래끼,AH001,46377,117345,20200102,20250722
unique_diseases,(양방)상세불명의 하복부통증,AR1039,45145,77707,20200103,20250723
unique_diseases,(양방)바이러스가 확인되지 않은 기타 호흡기증상을 동반한 인플루엔자,AJ111,44492,77879,20210120,20250628
unique_diseases,(양방)손발톱백선,AB351,44157,199286,20200102,20250808
unique_diseases,(양방)치아의 기타 명시된 마모,AK0318,43794,64035,20200103,20250726
unique_diseases,(양방)외측상과염,AM771,43239,245093,20200102,20250822
unique_diseases,(양방)기타 결막염,AH108,43011,91960,20200102,20250731
unique_diseases,(양방)일반적 의학검사,AZ000,42959,48363,20200102,20250729
unique_diseases,(양방)늑골의 염좌 및 긴장,AS2340,42756,88212,20200102,20250722
unique_diseases,(양방)상세불명의 열,AR5099,41770,67207,20210102,20250728
unique_diseases,(양방)상세불명의 아토피성 피부염,AL209,40286,184132,20200102,20250728
unique_diseases,(양방)치과보철 장치의 부착 및 조정을 위하여 보건서비스와 접하고 있는 사람,AZ463,40260,56378,20200102,20250723
unique_diseases,(양방)회전근개증후군,AM751,40043,206426,20200101,20250731
unique_diseases,(양방)발의 기타 및 상세불명 부분의 염좌 및 긴장,AS936,39990,90328,20200101,20250805
unique_diseases,(양방)상세불명의 무월경,AN912,39235,72486,20200102,20250730
unique_diseases,(양방)신경뿌리병증을 동반한 경추간판장애,AM501,38571,192378,20200101,20250807
unique_diseases,(양방)손목의 기타 부분의 염좌 및 긴장,AS6358,37768,100233,20200102,20250726
unique_diseases,(양방)상세불명의 간질환,AK769,37523,78786,20200102,20250726
unique_diseases,(한방)경추통 경부,BM5422,37432,126669,20200923,20250731
unique_diseases,(양방)시멘트질의 우식,AK022,37364,76468,20200102,20250710
unique_diseases,(양방)상세불명의 우울에피소드,AF329,37169,417218,20200101,20250807
unique_diseases,(양방)만성 상악동염,AJ320,37124,112288,20200101,20250731
unique_diseases,(양방)상세불명의 급성 세기관지염,AJ219,37052,103357,20200101,20250730
unique_diseases,(양방)편도주위농양,AJ36,36953,98074,20200101,20250727
unique_diseases,(양방)발백선,AB353,36569,100634,20200102,20250806
unique_diseases,(양방)기타 계절성 알레르기비염,AJ302,35960,92732,20200102,20250723
unique_diseases,(양방)얼굴의 종기,AL0201,35674,110307,20200102,20250731
unique_diseases,(양방)기타 감염성 외이도염,AH6038,35274,91652,20200101,20250729
unique_diseases,(양방)기침,AR05,34833,73089,20200102,20250813
unique_diseases,(양방)치아의 강직증,AK035,34598,69865,20200102,20250730
unique_diseases,(양방)귀지떡,AH612,34343,63506,20200102,20250729
unique_diseases,(양방)기타 명시된 만성 치주염,AK0538,33335,67267,20200102,20250722
unique_diseases,(한방)기능성 소화불량,BK30,33042,115782,20200102,20250804
unique_diseases,(양방)상세불명의 급성 결막염,AH103,32934,69644,20200102,20250726
unique_diseases,(양방)급성 치관주위염,AK0522,32844,55196,20200102,20250731
unique_diseases,(양방)재발성 상세불명의 급성 편도염,AJ0391,32763,79845,20200101,20250716
unique_diseases,(양방)양쪽 원발성 무릎관절증,AM170,32539,213054,20200101,20250808
unique_diseases,(양방)상세불명의 급성 하기도감염,AJ22,32213,85466,20200101,20250716
unique_diseases,(양방)바이러스사마귀,AB07,31793,126659,20200102,20250724
unique_diseases,(양방)손목의 상세불명 부분의 염좌 및 긴장,AS6359,31686,84008,20200102,20250719
unique_diseases,(한방)요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장,BS337,31585,112575,20200101,20250731
unique_diseases,(양방)각막결막염,AH162,31499,73303,20200207,20250726
unique_diseases,(양방)어깨의 충격증후군,AM754,31287,137334,20200102,20250731
unique_diseases,(양방)설사 위주의 과민대장증후군 [IBS-D],AK581,31169,63073,20210101,20250721
unique_diseases,(양방)합병증이 없는 대상포진,AB029,31001,92354,20200101,20250803
unique_diseases,(양방)어깨의 유착성 관절낭염,AM750,30945,164178,20200102,20250731
unique_diseases,(양방)상세불명의 부정교합,AK074,30649,41570,20200102,20250707
unique_diseases,(양방)피부 및 피하조직의 상세불명의 국소감염,AL089,29899,73091,20200102,20250731
unique_diseases,(양방)기타 및 상세불명의 표재성 각막염,AH1618,29651,72124,20200102,20250731
unique_diseases,(양방)상세불명의 지루피부염,AL219,28850,94135,20200102,20250726
unique_diseases,(한방)발목의 상세불명 부분의 염좌 및 긴장,BS9349,28835,96303,20200101,20250725
unique_diseases,(양방)규칙난시,AH5221,28801,53751,20200102,20250726
unique_diseases,(양방)얼굴 머리 및 목의 급성 림프절염,AL040,28554,68661,20200918,20250708
unique_diseases,(양방)상세불명의 천식,AJ459,28321,137262,20200101,20250809
unique_diseases,(양방)만성 치관주위염,AK0532,28239,46323,20200102,20250729
unique_diseases,(양방)상세불명의 결막염,AH109,28004,59234,20200101,20250802
unique_diseases,(한방)어깨관절의 염좌 및 긴장,BS434,27991,104813,20200101,20250724
unique_diseases,(양방)긴장형두통,AG442,27888,66059,20200102,20250719
unique_diseases,(양방)혼합성 고지질혈증,AE782,27872,152418,20200101,20250801
unique_diseases,"(양방)요통, 요추부",AM5456,27498,103015,20200101,20241231
unique_diseases,(양방)상세불명의 외이도염,AH609,27497,67445,20200102,20250723
unique_diseases,(한방)근육긴장 어깨부분,BM6261,27328,97137,20200917,20250719
unique_diseases,(양방)상세불명의 월경통,AN946,27328,59407,20200102,20250722
unique_diseases,(양방)기타 정상임신의 관리 임신 22주 미만,AZ3480,27289,164010,20200917,20250805
unique_diseases,(양방)만성 비염,AJ310,27178,72732,20200102,20250630
unique_diseases,(양방)만성 편도염,AJ350,26886,72578,20200102,20250729
unique_diseases,(양방)헤르페스바이러스 소수포피부염,AB001,26754,61215,20200102,20250728
unique_diseases,(양방)상세불명의 불규칙월경,AN926,26611,49256,20200102,20250804
unique_diseases,(양방)기타 근통 상세불명 부분,AM79198,26336,52018,20200928,20250708
unique_diseases,(양방)상악제3대구치의 매복,AK01163,26322,44653,20200102,20250725
unique_diseases,(양방)상세불명의 편두통,AG439,26278,82894,20200102,20250731
unique_diseases,(양방)녹내장 의심,AH400,25881,61933,20200102,20250725
unique_diseases,(양방)기타 요도염,AN342,25765,76039,20200102,20250729
unique_diseases,(양방)상세불명의 위십이지장염,AK299,25703,57461,20200101,20250717
unique_diseases,(양방)요통 요천부,AM5457,25486,90752,20200917,20250715
unique_diseases,(양방)편위된 비중격,AJ342,25423,83351,20200101,20250709
unique_diseases,(양방)요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장,AS337,25220,75638,20200102,20250729
unique_diseases,(양방)양성 발작성 현기증,AH811,24862,73628,20200102,20250731
unique_diseases,(양방)상세불명 원인의 상세불명의 접촉피부염,AL259,24777,60595,20200102,20250718
unique_diseases,(양방)재발성으로 명시되어 있지 않은 기타 급성 부비동염,AJ0180,24403,64870,20200102,20250717
unique_diseases,(양방)손가락의 상세불명 부분의 염좌 및 긴장,AS6369,24265,51477,20200101,20250726
unique_diseases,(양방)외맥립종,AH0000,24089,51929,20200102,20250801
unique_diseases,(양방)기타 의심되는 질환 및 병태의 관찰 배제된,AZ038,24033,38836,20200918,20250625
unique_diseases,(양방)기타 명시된 내부 인공삽입장치 삽입물 및 이식편의 기계적 합병증,AT856,24011,32517,20200916,20250728
unique_diseases,(양방)구내염의 기타 형태,AK121,23129,42129,20200101,20250726
unique_diseases,(양방)기타 명시된 이상 자궁 및 질 출혈,AN938,22667,43280,20200102,20250808
unique_diseases,(양방)구토를 동반한 구역,AR113,22640,39354,20200101,20250725
unique_diseases,(양방)턱관절내장증,AK0760,22496,60245,20200102,20250721
unique_diseases,(양방)발바닥근막성 섬유종증,AM722,22207,87263,20200102,20250729
unique_diseases,(한방)기타 근통 어깨부분,BM79118,22199,79241,20200919,20250731
unique_diseases,(양방)기타 명시된 추간판전위,AM512,22081,95031,20200101,20250724
unique_diseases,(양방)기타 요인에 의한 자극물접촉피부염,AL248,22021,53160,20200102,20250724
unique_diseases,(양방)상세불명의 방광염,AN309,21955,54881,20200101,20250729
unique_diseases,(양방)상세불명의 염증성 간질환,AK759,21936,63569,20200102,20250725
unique_diseases,(양방)발목 및 발 부위의 인대의 파열,AS932,21877,109391,20200101,20250810
unique_diseases,(양방)상세불명의 연조직염,AL039,21857,51893,20200101,20250727
unique_diseases,(양방)무릎의 타박상,AS800,21857,47217,20200101,20250806
unique_diseases,(양방)척추협착 요추부,AM4806,21452,126158,20200922,20250731
unique_diseases,(양방)수면 개시 및 유지 장애[불면증],AG470,21318,161954,20200101,20250726
unique_diseases,"(양방)경추통, 경부",AM5422,21303,85481,20200101,20241231
unique_diseases,(양방)티눈 및 굳은살,AL84,21292,61494,20200102,20250731
unique_diseases,(양방)상세불명의 자궁의 평활근종,AD259,21278,60468,20200102,20250805
unique_diseases,(양방)상세불명의 신체부위의 표재성 손상,AT140,21068,39869,20200102,20250721
unique_diseases,(한방)요통 요천부,BM5457,21057,83777,20200927,20250808
unique_diseases,(양방)표피낭,AL720,20950,75856,20200102,20250725
unique_diseases,(양방)달리 분류되지 않은 지방(변화성)간,AK760,20876,47736,20200101,20250722
unique_diseases,(양방)급성 연쇄알균치은구내염,AK0500,20852,32480,20200102,20250701
unique_diseases,(양방)손의 기타 및 상세불명 부분의 염좌 및 긴장,AS637,20830,44253,20200102,20250726
unique_diseases,(양방)자궁경부의 미란 및 외반,AN86,20475,50518,20200102,20250730
unique_diseases,(한방)발목의 기타 부분의 염좌 및 긴장,BS9348,20434,65008,20200102,20250731
unique_diseases,(양방)기타 명시된 급성 치주염,AK0528,20402,36241,20200102,20250723
unique_diseases,(양방)상세불명의 무릎관절증,AM179,20387,92603,20200102,20250729
unique_diseases,(양방)간기능검사의 이상결과,AR945,20382,46894,20200102,20250729
unique_diseases,(양방)손가락의 기타 부분의 염좌 및 긴장,AS6368,20358,42429,20200101,20250721
unique_diseases,(양방)유방통,AN644,20276,30130,20200102,20250719
unique_diseases,(양방)상세불명 부위의 코로나바이러스감염,AB342,20273,37668,20200225,20250522
unique_diseases,(양방)만성 후두염,AJ370,20045,55440,20200102,20250630
unique_diseases,(양방)재발성으로 명시되어 있지 않은 연쇄알균편도염,AJ0300,19482,52823,20200101,20250630
unique_diseases,(양방)유방의 상세불명의 덩이,AN63,19446,45540,20200102,20250722
unique_diseases,(양방)상세불명의 모낭장애,AL739,19363,70569,20200102,20250710
unique_diseases,(양방)기타 명시된 만성 치은염,AK0518,19340,25463,20200102,20250716
unique_diseases,(양방)두근거림,AR002,19282,43971,20200102,20250710
unique_diseases,(양방)비독성 단순갑상선 결절,AE041,19147,50675,20200103,20250731
unique_diseases,(양방)상세불명의 불안장애,AF419,18960,120892,20200101,20250801
unique_diseases,(양방)손목 및 손의 기타 부분의 타박상,AS602,18933,36127,20200101,20250714
unique_diseases,(양방)기타 정상임신의 관리 임신 22주 이상 ~ 34주 미만,AZ3481,18913,78781,20200922,20250728
unique_diseases,(양방)기타 원발성 무릎관절증,AM171,18881,94231,20200102,20250807
unique_diseases,(양방)상세불명의 폐렴,AJ189,18539,52506,20200101,20250708
unique_diseases,(양방)동이 없는 잇몸 기원의 치주농양,AK0520,18438,37308,20200102,20250731
unique_diseases,(양방)관절통 발목 및 발,AM2557,18428,49377,20200924,20250724
unique_diseases,(양방)체부백선,AB354,18404,47999,20200102,20250729
unique_diseases,(양방)상세불명의 피부의 양성 신생물,AD239,18390,43622,20200101,20250723
unique_diseases,(양방)일상적 분만후 추후관리,AZ392,18371,33961,20200102,20250719
unique_diseases,(양방)기타 및 상세불명 변비,AK5909,18189,45482,20200102,20250729
unique_diseases,(양방)요관의 결석,AN201,18072,67985,20200101,20250723
unique_diseases,(한방)무릎의 기타 및 상세불명 부분의 염좌 및 긴장,BS836,17874,68064,20200102,20250712
unique_diseases,(양방)이명,AH931,17691,48312,20200102,20250731
unique_diseases,(양방)기타 명시된 주로 성행위로 전파되는 질환,AA638,17691,37764,20200102,20250730
unique_diseases,(양방)상세불명의 헤르페스바이러스감염,AB009,17671,40561,20200103,20250730
unique_diseases,(양방)만성 전립선염,AN411,17626,79350,20200102,20250725
unique_diseases,(양방)기타 만성 부비동염,AJ328,17552,58360,20200101,20250728
unique_diseases,(양방)속쓰림,AR12,17506,30346,20200102,20250711
unique_diseases,(한방)근육긴장 기타 부분,BM6268,17400,55334,20200919,20250730
unique_diseases,(양방)손목 및 손의 기타 부분의 열린상처,AS618,17395,52672,20200102,20250730
unique_diseases,(양방)상세불명의 갑상선기능저하증,AE039,17298,146404,20200102,20250804
unique_diseases,(양방)급성 복증,AR100,17234,30582,20200102,20250724
unique_diseases,(양방)흉부의 타박상,AS202,17208,29909,20200423,20250712
unique_diseases,(양방)공황장애[우발적 발작성 불안],AF410,17046,222159,20200101,20250802
unique_diseases,(양방)만성 범부비동염,AJ324,16965,58270,20200102,20250727
unique_diseases,(양방)상세불명의 만성 위염,AK295,16713,35934,20200101,20250721
unique_diseases,(양방)합병증을 동반하지 않은 전립선증식증,AN400,16620,111901,20200101,20250731
unique_diseases,(양방)중등도 우울에피소드,AF321,16502,199358,20200101,20250728
unique_diseases,(양방)요통 상세불명의 부위,AM5459,16460,48638,20200922,20250731
unique_diseases,(양방)발가락의 염좌 및 긴장,AS935,16391,32687,20200102,20250713
unique_diseases,(양방)기타 외이도염,AH6088,16342,37908,20200104,20250810
unique_diseases,(양방)관절통 아래다리,AM2556,16301,45521,20200922,20250729
unique_diseases,(양방)상세불명의 철결핍빈혈,AD509,16292,47362,20200102,20250723
unique_diseases,(양방)감염성 피부염,AL303,16107,37118,20200102,20250731
unique_diseases,(양방)아급성 및 만성 질염,AN761,15937,40363,20200102,20250708
unique_diseases,(양방)상세불명의 고혈당증,AR739,15751,28787,20200102,20250719
unique_diseases,(양방)상세불명의 치핵,AK649,15639,44370,20200101,20250710
unique_diseases,(양방)피부건조증,AL853,15607,38190,20200102,20250712
unique_diseases,(양방)질 및 외음의 기타 명시된 염증,AN768,15544,37948,20200103,20250731
unique_diseases,(양방)아킬레스힘줄염,AM766,15541,56240,20200103,20250722
unique_diseases,(양방)눈꺼풀의 기타 심부염증,AH0008,15502,32667,20200102,20250725
unique_diseases,(양방)여러 부위의 기타 급성 상기도감염,AJ068,15324,33986,20200101,20250702
unique_diseases,(양방)비대성 흉터,AL910,15263,59963,20200102,20250726
unique_diseases,(양방)상세불명의 신체부위의 열린상처,AT141,15245,32815,20200102,20250709
unique_diseases,(양방)상세불명의 망막장애,AH359,15243,31350,20200103,20250717
unique_diseases,(양방)기타 아토피성 피부염,AL2088,15237,66593,20200102,20250721
unique_diseases,(양방)경도 우울에피소드,AF320,15225,152688,20200102,20250729
unique_diseases,(양방)비기질성 불면증,AF510,15218,136139,20200102,20250730
unique_diseases,(양방)열린 두개내상처가 없는 진탕,AS0600,15180,24132,20200102,20250710
unique_diseases,(양방)이차성 무월경,AN911,15179,26125,20200102,20250725
unique_diseases,(양방)손톱의 손상이 없는 손가락의 타박상,AS600,15175,26395,20200101,20250724
unique_diseases,(양방)만성 위축성 위염,AK294,14895,27400,20200102,20250729
unique_diseases,(양방)발의 기타 및 상세불명 부분의 타박상,AS903,14893,27569,20200101,20250718
unique_diseases,(양방)기타 정상임신의 관리 임신 34주 이상 ~ 37주 미만,AZ3482,14861,33414,20200921,20250704
unique_diseases,(양방)결막낭의 이물,AT151,14834,26082,20200102,20250709
unique_diseases,(양방)기타 흉통,AR073,14761,25839,20200102,20250731
unique_diseases,(양방)기타 명시된 급성 치은염,AK0508,14696,21208,20200102,20250628
unique_diseases,(양방)기타 고지질혈증,AE784,14650,65590,20200102,20250804
unique_diseases,(양방)기타 부위의 연조직염,AL038,14620,33730,20200102,20250730
unique_diseases,(양방)3도 치핵,AK642,14604,59077,20200102,20250716
unique_diseases,(양방)얼굴의 피부농양,AL0200,14601,41179,20200102,20250725
unique_diseases,(양방)관절통 어깨부분,AM2551,14545,48536,20200925,20250727
unique_diseases,(양방)법랑질에 제한된 우식,AK020,14512,17896,20200102,20250709
unique_diseases,(양방)방광의 상세불명의 신경근육기능장애,AN319,14498,54183,20200102,20250820
unique_diseases,(양방)안검결막염,AH105,14442,31609,20200102,20250804
unique_diseases,(양방)안검염,AH010,14432,33211,20200302,20250725
unique_diseases,(양방)재발성 구강 아프타,AK120,14431,32381,20200102,20250724
unique_diseases,(양방)달리 분류된 기타 질환에서의 각막염 및 각막결막염,AH193,14407,35737,20200102,20250710
unique_diseases,(양방)부위가 명시되지 않은 요로감염,AN390,14297,35297,20200101,20250730
unique_diseases,(양방)관절통 손,AM2554,14220,36872,20201008,20250731
unique_diseases,(양방)가역적 치수염,AK0400,14160,24549,20200102,20250718
unique_diseases,(양방)상세불명의 감각신경성 청력소실,AH905,14105,32057,20200102,20250714
unique_diseases,(양방)두피지루,AL210,14043,41818,20200102,20250726
unique_diseases,(양방)무릎뼈힘줄염,AM765,13930,43421,20200102,20250718
unique_diseases,(양방)귀의 이물,AT16,13910,21241,20200102,20250731
unique_diseases,(양방)출혈 또는 천공이 없는 급성 위궤양,AK2531,13843,35867,20200102,20250729
unique_diseases,(양방)만성 단순태선,AL280,13799,41286,20200102,20250717
unique_diseases,(양방)다리의 연조직염,AL0311,13766,46757,20200101,20250730
unique_diseases,(양방)상세불명의 비타민D결핍,AE559,13709,30632,20200102,20250728
unique_diseases,(양방)만성 인두염,AJ312,13600,35355,20200102,20250714
unique_diseases,(양방)기타 근통 기타 부분,AM79188,13589,28030,20200925,20250722
unique_diseases,(양방)기타 지루피부염,AL218,13547,42453,20200102,20250630
unique_diseases,(양방)상세불명의 합병증을 동반한 2형 당뇨병,AE118,13524,165425,20200101,20250801
unique_diseases,(양방)혼합형 불안 및 우울장애,AF412,13486,120563,20200102,20250726
unique_diseases,(양방)상세불명의 만성 기관지염,AJ42,13381,30895,20200102,20250718
unique_diseases,(한방)손목의 상세불명 부분의 염좌 및 긴장,BS6359,13375,41377,20200102,20250730
unique_diseases,(양방)코의 농양 종기 및 큰종기,AJ340,13363,33960,20200921,20250718
unique_diseases,(양방)기타 윤활막염 및 힘줄윤활막염 아래팔,AM6583,13344,38658,20200918,20250721
unique_diseases,(양방)상세불명의 후두부종,AJ3849,13146,33597,20200102,20250730
unique_diseases,(양방)상세불명의 갑상선의 장애,AE079,13135,24040,20200102,20250819
unique_diseases,(양방)기타 윤활막염 및 힘줄윤활막염 발목 및 발,AM6587,13124,35369,20200919,20250715
unique_diseases,"(한방)요통, 요추부",BM5456,13107,45970,20200101,20241231
unique_diseases,(양방)상세불명의 추간판장애,AM519,13105,52379,20200102,20250716
unique_diseases,(양방)결막출혈,AH113,13062,22481,20200103,20250724
unique_diseases,(양방)상세불명의 상복부통증,AR1019,12998,23495,20200102,20250729
unique_diseases,(양방)경추통 경흉추부,AM5423,12938,46145,20200921,20250728
unique_diseases,(양방)내측상과염,AM770,12908,67202,20200102,20250801
unique_diseases,(한방)경추통 경흉추부,BM5423,12895,42987,20200925,20250729
unique_diseases,(양방)요천추[관절][인대]의 염좌 및 긴장,AS3351,12890,40417,20200101,20250703
unique_diseases,(양방)상세불명의 결장의 양성 신생물,AD126,12882,24973,20200102,20250718
unique_diseases,(양방)만성 표재성 위염,AK293,12856,24898,20200102,20250726
unique_diseases,(양방)기타 부위의 종기,AL0281,12830,36830,20200102,20250727
unique_diseases,(양방)수근(관절)의 염좌 및 긴장,AS6350,12807,30815,20200102,20250730
unique_diseases,(양방)기타 윤활막염 및 힘줄윤활막염 손,AM6584,12764,33218,20200925,20250719
unique_diseases,(양방)잔류치근,AK083,12635,22397,20200102,20250718
unique_diseases,(양방)상세불명의 가려움,AL299,12565,28852,20200101,20250721
unique_diseases,(양방)상세불명의 통증,AR529,12552,26550,20200101,20250710
unique_diseases,(양방)눈꺼풀의 상세불명 염증,AH019,12508,26579,20200102,20250728
unique_diseases,(양방)요골붓돌기힘줄윤활막염[드퀘르벵],AM654,12506,47893,20200102,20250721
unique_diseases,(양방)남성불임,AN46,12438,29694,20200102,20250714
unique_diseases,(양방)상세불명의 바이러스성 장감염,AA084,12436,24686,20200101,20250714
unique_diseases,(양방)특발성 통풍 발목 및 발,AM1007,12406,80619,20200922,20250806
unique_diseases,(양방)기타 명시된 비감염성 위장염 및 결장염,AK528,12372,23701,20200102,20250730
unique_diseases,(양방)구역,AR111,12346,21337,20200102,20250715
unique_diseases,(양방)기능성 설사,AK591,12320,21058,20200101,20250726
unique_diseases,(양방)팔꿈치의 기타 부분의 염좌 및 긴장,AS5348,12274,34897,20200102,20250718
unique_diseases,(한방)항강(項强),BU303,12273,34429,20200102,20250729
